M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0232256,144.472
256,2560,2560,1,0.036928,90.8645
256,2560,2560,2,0.0256288,130.925
256,2560,2560,3,0.0262464,127.844
256,2560,2560,4,0.0354592,94.6283

256,3840,2560,0,0.0286496,175.68
256,3840,2560,1,0.0358016,140.585
256,3840,2560,2,0.02648,190.074
256,3840,2560,3,0.0273376,184.111
256,3840,2560,4,0.0361472,139.241

256,13824,2560,0,0.0589088,307.584
256,13824,2560,1,0.056288,321.905
256,13824,2560,2,0.0595104,304.474
256,13824,2560,3,0.0574464,315.414
256,13824,2560,4,0.0576288,314.416

256,2560,6912,0,0.0341024,265.662
256,2560,6912,1,0.0636992,142.226
256,2560,6912,2,0.0432032,209.7
256,2560,6912,3,0.0440352,205.738
256,2560,6912,4,0.0630688,143.648

512,2560,2560,0,0.0295616,227.014
512,2560,2560,1,0.0388736,172.634
512,2560,2560,2,0.0296224,226.548
512,2560,2560,3,0.0300736,223.149
512,2560,2560,4,0.0388512,172.733

512,3840,2560,0,0.0420256,239.529
512,3840,2560,1,0.039104,257.425
512,3840,2560,2,0.0392608,256.396
512,3840,2560,3,0.0452704,222.36
512,3840,2560,4,0.038096,264.236

512,13824,2560,0,0.0972096,372.79
512,13824,2560,1,0.0815328,444.469
512,13824,2560,2,0.0876736,413.337
512,13824,2560,3,0.0908768,398.768
512,13824,2560,4,0.083664,433.147

512,2560,6912,0,0.0550656,329.051
512,2560,6912,1,0.067728,267.532
512,2560,6912,2,0.0510848,354.692
512,2560,6912,3,0.046496,389.698
512,2560,6912,4,0.0662144,273.647

1024,2560,2560,0,0.0421728,318.257
1024,2560,2560,1,0.0399104,336.298
1024,2560,2560,2,0.0376576,356.416
1024,2560,2560,3,0.046368,289.462
1024,2560,2560,4,0.0398944,336.432

1024,3840,2560,0,0.0640064,314.541
1024,3840,2560,1,0.0711936,282.787
1024,3840,2560,2,0.0651584,308.98
1024,3840,2560,3,0.063856,315.282
1024,3840,2560,4,0.0674848,298.329

1024,13824,2560,0,0.168579,429.932
