M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0350048,95.8567
256,2560,2560,1,0.0347808,96.474
256,2560,2560,2,0.0319008,105.184
256,2560,2560,3,0.0488832,68.6421
256,2560,2560,4,0.0485472,69.1171
256,2560,2560,5,0.0255808,131.17
256,2560,2560,6,0.041296,81.2535
256,2560,2560,7,0.0361184,92.9012
256,2560,2560,8,0.0298368,112.46
256,2560,2560,9,0.0323648,103.676
256,2560,2560,10,0.0272032,123.347
256,2560,2560,11,0.0281824,119.062
256,2560,2560,12,0.0298912,112.255
256,2560,2560,13,0.025984,129.135
256,2560,2560,14,0.0260192,128.96
256,2560,2560,15,0.0276832,121.209
256,2560,2560,16,0.0328128,102.26
256,2560,2560,17,0.0365248,91.8675
256,2560,2560,18,0.0336224,99.7978
256,2560,2560,19,0.0382144,87.8057
256,2560,2560,20,0.0385056,87.1417
256,2560,2560,21,0.0410432,81.7539
256,2560,2560,22,0.0385984,86.9322

256,3840,2560,0,0.0338944,148.495
256,3840,2560,1,0.0328512,153.211
256,3840,2560,2,0.0444672,113.188
256,3840,2560,3,0.0471872,106.664
256,3840,2560,4,0.0474208,106.138
256,3840,2560,5,0.0308576,163.109
256,3840,2560,6,0.039472,127.512
256,3840,2560,7,0.035728,140.875
256,3840,2560,8,0.0283968,177.244
256,3840,2560,9,0.0305632,164.681
256,3840,2560,10,0.039856,126.284
256,3840,2560,11,0.03656,137.669
256,3840,2560,12,0.0290464,173.28
256,3840,2560,13,0.0377472,133.339
256,3840,2560,14,0.0388448,129.571
256,3840,2560,15,0.0411264,122.383
256,3840,2560,16,0.0421536,119.401
256,3840,2560,17,0.0458624,109.745
256,3840,2560,18,0.0415936,121.008
256,3840,2560,19,0.0532768,94.472
256,3840,2560,20,0.049856,100.954
256,3840,2560,21,0.0539648,93.2676
256,3840,2560,22,0.0514336,97.8575

256,13824,2560,0,0.0765376,236.738
256,13824,2560,1,0.0749152,241.865
256,13824,2560,2,0.0933632,194.074
256,13824,2560,3,0.070448,257.202
256,13824,2560,4,0.0715328,253.302
256,13824,2560,5,0.0708608,255.704
256,13824,2560,6,0.0550848,328.936
256,13824,2560,7,0.0668288,271.131
256,13824,2560,8,0.0647392,279.883
256,13824,2560,9,0.0711232,254.761
256,13824,2560,10,0.0813024,222.864
256,13824,2560,11,0.0851744,212.733
256,13824,2560,12,0.0629056,288.041
256,13824,2560,13,0.0765152,236.808
256,13824,2560,14,0.0791168,229.021
256,13824,2560,15,0.0878272,206.307
256,13824,2560,16,0.103606,174.887
256,13824,2560,17,0.116064,156.116
256,13824,2560,18,0.103069,175.799
256,13824,2560,19,0.142422,127.223
256,13824,2560,20,0.124931,145.035
256,13824,2560,21,0.151686,119.453
256,13824,2560,22,0.128886,140.584

256,2560,6912,0,0.057856,156.59
256,2560,6912,1,0.0565888,160.097
256,2560,6912,2,0.0496512,182.467
256,2560,6912,3,0.0837888,108.125
256,2560,6912,4,0.0858528,105.526
256,2560,6912,5,0.0461632,196.254
256,2560,6912,6,0.07648,118.458
256,2560,6912,7,0.0790528,114.603
256,2560,6912,8,0.055488,163.273
256,2560,6912,9,0.0624192,145.143
256,2560,6912,10,0.0482176,187.892
256,2560,6912,11,0.0541024,167.455
256,2560,6912,12,0.0546976,165.632
256,2560,6912,13,0.0434624,208.449
256,2560,6912,14,0.0482368,187.817
256,2560,6912,15,0.0516256,175.488
256,2560,6912,16,0.0627648,144.344
256,2560,6912,17,0.0743456,121.859
256,2560,6912,18,0.0660992,137.062
256,2560,6912,19,0.0673216,134.573
256,2560,6912,20,0.0787904,114.985
256,2560,6912,21,0.0744448,121.697
256,2560,6912,22,0.0742368,122.038

512,2560,2560,0,0.0376672,178.163
512,2560,2560,1,0.0377632,177.71
512,2560,2560,2,0.0415648,161.456
512,2560,2560,3,0.0501312,133.866
512,2560,2560,4,0.05048,132.941
512,2560,2560,5,0.033024,203.212
512,2560,2560,6,0.0401824,167.011
512,2560,2560,7,0.0413792,162.18
512,2560,2560,8,0.033856,198.219
512,2560,2560,9,0.036272,185.016
512,2560,2560,10,0.0413056,162.469
512,2560,2560,11,0.039344,170.569
512,2560,2560,12,0.0333248,201.378
512,2560,2560,13,0.0377184,177.921
512,2560,2560,14,0.043232,155.23
512,2560,2560,15,0.04272,157.09
512,2560,2560,16,0.0476,140.985
512,2560,2560,17,0.0541568,123.916
512,2560,2560,18,0.0476576,140.815
512,2560,2560,19,0.064096,104.701
512,2560,2560,20,0.056848,118.05
512,2560,2560,21,0.069792,96.1555
512,2560,2560,22,0.056976,117.784

512,3840,2560,0,0.0615168,163.635
512,3840,2560,1,0.05424,185.589
512,3840,2560,2,0.06408,157.09
512,3840,2560,3,0.0518016,194.325
512,3840,2560,4,0.0523584,192.258
512,3840,2560,5,0.056848,177.074
512,3840,2560,6,0.043632,230.71
512,3840,2560,7,0.0522784,192.552
512,3840,2560,8,0.051712,194.661
512,3840,2560,9,0.060848,165.434
512,3840,2560,10,0.0582496,172.814
512,3840,2560,11,0.0537632,187.235
512,3840,2560,12,0.052656,191.172
512,3840,2560,13,0.0534496,188.333
