M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.029264,114.661
256,2560,2560,1,0.0294784,113.827
256,2560,2560,2,0.0263488,127.347
256,2560,2560,3,0.0402912,83.2798
256,2560,2560,4,0.039472,85.0082
256,2560,2560,5,0.0218688,153.435
256,2560,2560,6,0.0340672,98.4948
256,2560,2560,7,0.0311904,107.579
256,2560,2560,8,0.0247744,135.44
256,2560,2560,9,0.0266976,125.683
256,2560,2560,10,0.0226208,148.334
256,2560,2560,11,0.0240064,139.773
256,2560,2560,12,0.0256768,130.68
256,2560,2560,13,0.0214848,156.178
256,2560,2560,14,0.022432,149.583
256,2560,2560,15,0.024496,136.979
256,2560,2560,16,0.027376,122.569
256,2560,2560,17,0.03104,108.101
256,2560,2560,18,0.0277632,120.859
256,2560,2560,19,0.0303072,110.714
256,2560,2560,20,0.032784,102.35
256,2560,2560,21,0.0332608,100.883
256,2560,2560,22,0.0317056,105.831

256,3840,2560,0,0.0298304,168.726
256,3840,2560,1,0.0287264,175.21
256,3840,2560,2,0.0357056,140.963
256,3840,2560,3,0.0388256,129.635
256,3840,2560,4,0.0400608,125.638
256,3840,2560,5,0.0254848,197.497
256,3840,2560,6,0.032192,156.348
256,3840,2560,7,0.0295968,170.058
256,3840,2560,8,0.0240192,209.548
256,3840,2560,9,0.0258144,194.975
256,3840,2560,10,0.0323488,155.59
256,3840,2560,11,0.0293888,171.261
256,3840,2560,12,0.0252128,199.627
256,3840,2560,13,0.0289632,173.778
256,3840,2560,14,0.030768,163.584
256,3840,2560,15,0.0326048,154.369
256,3840,2560,16,0.0337344,149.2
256,3840,2560,17,0.0373472,134.767
256,3840,2560,18,0.0329952,152.542
256,3840,2560,19,0.0404,124.583
256,3840,2560,20,0.040048,125.678
256,3840,2560,21,0.0431008,116.777
256,3840,2560,22,0.0405504,124.121

256,13824,2560,0,0.0614752,294.743
256,13824,2560,1,0.0615808,294.238
256,13824,2560,2,0.072896,248.565
256,13824,2560,3,0.0584576,309.958
256,13824,2560,4,0.058032,312.231
256,13824,2560,5,0.0541024,334.909
256,13824,2560,6,0.0467232,387.803
256,13824,2560,7,0.0530688,341.432
256,13824,2560,8,0.050752,357.018
256,13824,2560,9,0.0584096,310.213
256,13824,2560,10,0.0645696,280.618
256,13824,2560,11,0.0655232,276.534
256,13824,2560,12,0.0504704,359.01
256,13824,2560,13,0.057904,312.921
256,13824,2560,14,0.0630272,287.485
256,13824,2560,15,0.069264,261.599
256,13824,2560,16,0.0787104,230.203
256,13824,2560,17,0.089968,201.398
256,13824,2560,18,0.0821472,220.572
