M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
32,2560,2560,0,0.0219808,19.0817
32,2560,2560,1,0.0224192,18.7085
32,2560,2560,2,0.0178496,23.498
32,2560,2560,3,0.0309344,13.5587
32,2560,2560,4,0.0300928,13.9379
32,2560,2560,5,0.0178304,23.5233
32,2560,2560,6,0.028288,14.8271
32,2560,2560,7,0.023216,18.0664
32,2560,2560,8,0.0205504,20.4098
32,2560,2560,9,0.0251616,16.6695
32,2560,2560,10,0.0207008,20.2616
32,2560,2560,11,0.0161632,25.9497
32,2560,2560,12,0.0235552,17.8063
32,2560,2560,13,0.0162912,25.7458
32,2560,2560,14,0.0178336,23.5191
32,2560,2560,15,0.0150528,27.8639
32,2560,2560,16,0.017376,24.1385
32,2560,2560,17,0.0157824,26.5758
32,2560,2560,18,0.018208,23.0355
32,2560,2560,19,0.0159232,26.3408
32,2560,2560,20,0.0171616,24.4401
32,2560,2560,21,0.01576,26.6136
32,2560,2560,22,0.0196512,21.3438

32,3840,2560,0,0.024432,25.7509
32,3840,2560,1,0.0236544,26.5974
32,3840,2560,2,0.0198848,31.6395
32,3840,2560,3,0.0306944,20.4971
32,3840,2560,4,0.0317056,19.8434
32,3840,2560,5,0.0176768,35.5916
32,3840,2560,6,0.0295104,21.3195
32,3840,2560,7,0.0255456,24.6283
32,3840,2560,8,0.0210304,29.916
32,3840,2560,9,0.0229312,27.4362
32,3840,2560,10,0.019104,32.9327
32,3840,2560,11,0.0152608,41.2263
32,3840,2560,12,0.0214976,29.2659
32,3840,2560,13,0.0155968,40.3381
32,3840,2560,14,0.016352,38.4751
32,3840,2560,15,0.0141504,44.4613
32,3840,2560,16,0.0238336,26.3974
32,3840,2560,17,0.0158688,39.6467
32,3840,2560,18,0.0211808,29.7036
32,3840,2560,19,0.0199296,31.5684
32,3840,2560,20,0.01504,41.8315
32,3840,2560,21,0.0149344,42.1273
32,3840,2560,22,0.0167296,37.6067

32,13824,2560,0,0.0397472,56.9832
32,13824,2560,1,0.0408896,55.3912
32,13824,2560,2,0.0384672,58.8794
32,13824,2560,3,0.0432896,52.3203
32,13824,2560,4,0.0428672,52.8358
32,13824,2560,5,0.0375808,60.2681
32,13824,2560,6,0.0412672,54.8844
32,13824,2560,7,0.0441024,51.356
32,13824,2560,8,0.0448064,50.5491
32,13824,2560,9,0.0380352,59.5481
32,13824,2560,10,0.0363424,62.3218
32,13824,2560,11,0.03536,64.0533
32,13824,2560,12,0.0365632,61.9455
32,13824,2560,13,0.0369536,61.291
32,13824,2560,14,0.0349536,64.798
32,13824,2560,15,0.035248,64.2568
32,13824,2560,16,0.0436928,51.8375
32,13824,2560,17,0.0373248,60.6815
32,13824,2560,18,0.044448,50.9567
32,13824,2560,19,0.0415744,54.4788
32,13824,2560,20,0.0357248,63.3992
32,13824,2560,21,0.0360608,62.8085
32,13824,2560,22,0.0358496,63.1785

32,2560,6912,0,0.0385056,29.4103
32,2560,6912,1,0.0393984,28.7439
32,2560,6912,2,0.031072,36.4464
32,2560,6912,3,0.0599936,18.8764
32,2560,6912,4,0.0589056,19.225
32,2560,6912,5,0.0328224,34.5027
32,2560,6912,6,0.0580032,19.5241
32,2560,6912,7,0.0479456,23.6197
32,2560,6912,8,0.043136,26.2533
32,2560,6912,9,0.046928,24.1319
32,2560,6912,10,0.0356928,31.728
32,2560,6912,11,0.0261248,43.3482
32,2560,6912,12,0.039376,28.7602
32,2560,6912,13,0.0264608,42.7977
32,2560,6912,14,0.0313184,36.1596
32,2560,6912,15,0.0261568,43.2951
32,2560,6912,16,0.0286368,39.5457
32,2560,6912,17,0.0211776,53.4745
32,2560,6912,18,0.0249184,45.4468
32,2560,6912,19,0.0202784,55.8457
32,2560,6912,20,0.0214592,52.7728
32,2560,6912,21,0.0212288,53.3456
32,2560,6912,22,0.0283424,39.9565

64,2560,2560,0,0.0269568,31.1187
64,2560,2560,1,0.0270464,31.0156
64,2560,2560,2,0.0206272,40.6677
64,2560,2560,3,0.033376,25.1337
64,2560,2560,4,0.0345152,24.3041
64,2560,2560,5,0.019856,42.2472
64,2560,2560,6,0.031152,26.928
64,2560,2560,7,0.0274176,30.5957
64,2560,2560,8,0.023136,36.2578
64,2560,2560,9,0.0258432,32.4596
64,2560,2560,10,0.021168,39.6287
64,2560,2560,11,0.0180576,46.4547
64,2560,2560,12,0.024688,33.9785
64,2560,2560,13,0.0189536,44.2587
64,2560,2560,14,0.0196704,42.6458
64,2560,2560,15,0.017168,48.8619
64,2560,2560,16,0.0170624,49.1643
64,2560,2560,17,0.0173792,48.2681
64,2560,2560,18,0.0184672,45.4244
64,2560,2560,19,0.0178176,47.0805
64,2560,2560,20,0.018112,46.3152
64,2560,2560,21,0.0181856,46.1277
64,2560,2560,22,0.0202816,41.3607

64,3840,2560,0,0.0237888,52.8943
64,3840,2560,1,0.0251008,50.1295
64,3840,2560,2,0.020816,60.4483
64,3840,2560,3,0.0326656,38.5204
64,3840,2560,4,0.0309632,40.6383
64,3840,2560,5,0.0165216,76.1604
64,3840,2560,6,0.0307232,40.9557
64,3840,2560,7,0.025344,49.6485
64,3840,2560,8,0.0205376,61.2677
64,3840,2560,9,0.0271104,46.4136
64,3840,2560,10,0.019856,63.3708
64,3840,2560,11,0.0140768,89.3876
64,3840,2560,12,0.0253856,49.5671
64,3840,2560,13,0.0198688,63.33
64,3840,2560,14,0.0166208,75.7058
64,3840,2560,15,0.0187104,67.2509
64,3840,2560,16,0.0254624,49.4176
64,3840,2560,17,0.0192672,65.3074
64,3840,2560,18,0.020512,61.3442
64,3840,2560,19,0.0205024,61.3729
64,3840,2560,20,0.0212704,59.1569
64,3840,2560,21,0.020784,60.5413
64,3840,2560,22,0.0210144,59.8776

64,13824,2560,0,0.041328,109.607
64,13824,2560,1,0.0414656,109.244
64,13824,2560,2,0.0411552,110.067
64,13824,2560,3,0.0433344,104.532
64,13824,2560,4,0.04288,105.64
64,13824,2560,5,0.0389216,116.384
64,13824,2560,6,0.0413504,109.548
64,13824,2560,7,0.0448704,100.954
64,13824,2560,8,0.0454848,99.5904
64,13824,2560,9,0.0393216,115.2
64,13824,2560,10,0.0375808,120.536
64,13824,2560,11,0.0371488,121.938
64,13824,2560,12,0.0376512,120.311
64,13824,2560,13,0.0382784,118.34
64,13824,2560,14,0.0365376,123.978
64,13824,2560,15,0.0358688,126.289
64,13824,2560,16,0.0444832,101.833
64,13824,2560,17,0.0390208,116.088
64,13824,2560,18,0.0452064,100.204
64,13824,2560,19,0.042368,106.917
64,13824,2560,20,0.038784,116.797
64,13824,2560,21,0.04368,103.705
64,13824,2560,22,0.0390912,115.879

64,2560,6912,0,0.0419072,54.0462
64,2560,6912,1,0.0416192,54.4202
64,2560,6912,2,0.0322912,70.1406
64,2560,6912,3,0.0631488,35.8665
64,2560,6912,4,0.0629568,35.9758
64,2560,6912,5,0.0318304,71.156
64,2560,6912,6,0.057632,39.2998
64,2560,6912,7,0.0524192,43.2079
64,2560,6912,8,0.04184,54.133
64,2560,6912,9,0.0446848,50.6867
64,2560,6912,10,0.0346912,65.2881
64,2560,6912,11,0.0273952,82.6759
64,2560,6912,12,0.041808,54.1744
64,2560,6912,13,0.0284864,79.509
64,2560,6912,14,0.030192,75.0174
64,2560,6912,15,0.0239712,94.4852
64,2560,6912,16,0.0274848,82.4064
64,2560,6912,17,0.0254848,88.8735
64,2560,6912,18,0.0252832,89.5822
64,2560,6912,19,0.02296,98.6465
64,2560,6912,20,0.0253504,89.3447
64,2560,6912,21,0.0249504,90.7771
64,2560,6912,22,0.0325056,69.678

96,2560,2560,0,0.0237952,52.88
96,2560,2560,1,0.0237088,53.0727
96,2560,2560,2,0.0191968,65.5469
96,2560,2560,3,0.0307904,40.8663
96,2560,2560,4,0.0310368,40.5419
96,2560,2560,5,0.0165696,75.9397
96,2560,2560,6,0.0282976,44.4664
96,2560,2560,7,0.0249728,50.3865
96,2560,2560,8,0.0202624,62.0998
96,2560,2560,9,0.0220896,56.9631
96,2560,2560,10,0.0189216,66.5003
96,2560,2560,11,0.014944,84.2004
96,2560,2560,12,0.0213216,59.0149
96,2560,2560,13,0.0154816,81.2766
96,2560,2560,14,0.0164288,76.5906
96,2560,2560,15,0.0150848,83.4145
96,2560,2560,16,0.015216,82.6953
96,2560,2560,17,0.0182528,68.9369
96,2560,2560,18,0.0150784,83.4499
96,2560,2560,19,0.0193088,65.1667
96,2560,2560,20,0.0173504,72.5223
96,2560,2560,21,0.0206496,60.9354
96,2560,2560,22,0.0170144,73.9545

96,3840,2560,0,0.0288384,65.4487
96,3840,2560,1,0.0286848,65.7992
96,3840,2560,2,0.0196576,96.0156
96,3840,2560,3,0.0336192,56.1416
96,3840,2560,4,0.0354464,53.2476
96,3840,2560,5,0.0168864,111.773
96,3840,2560,6,0.0305728,61.7358
96,3840,2560,7,0.0289344,65.2316
96,3840,2560,8,0.0242144,77.9469
96,3840,2560,9,0.026384,71.5372
96,3840,2560,10,0.021792,86.6115
96,3840,2560,11,0.0209024,90.2976
96,3840,2560,12,0.0256288,73.6452
96,3840,2560,13,0.01864,101.257
96,3840,2560,14,0.016672,113.21
96,3840,2560,15,0.0190432,99.1134
96,3840,2560,16,0.0260544,72.4421
96,3840,2560,17,0.0233568,80.8089
96,3840,2560,18,0.0252992,74.6046
96,3840,2560,19,0.029568,63.8338
96,3840,2560,20,0.0225088,83.8533
96,3840,2560,21,0.0224,84.2606
96,3840,2560,22,0.0188576,100.089

96,13824,2560,0,0.0449568,151.14
96,13824,2560,1,0.0453024,149.987
96,13824,2560,2,0.0448512,151.496
96,13824,2560,3,0.046496,146.137
96,13824,2560,4,0.045696,148.695
96,13824,2560,5,0.0397568,170.908
96,13824,2560,6,0.0425696,159.616
96,13824,2560,7,0.0457152,148.633
96,13824,2560,8,0.0464256,146.358
96,13824,2560,9,0.0407808,166.617
96,13824,2560,10,0.041136,165.178
96,13824,2560,11,0.0438112,155.092
96,13824,2560,12,0.0388768,174.777
96,13824,2560,13,0.0392096,173.294
96,13824,2560,14,0.0400704,169.571
96,13824,2560,15,0.0404736,167.882
96,13824,2560,16,0.046032,147.61
96,13824,2560,17,0.0506944,134.034
96,13824,2560,18,0.0468256,145.108
96,13824,2560,19,0.061808,109.934
96,13824,2560,20,0.048512,140.064
96,13824,2560,21,0.0560064,121.321
96,13824,2560,22,0.0463232,146.682

96,2560,6912,0,0.04024,84.4281
96,2560,6912,1,0.0403968,84.1004
96,2560,6912,2,0.0308832,110.008
96,2560,6912,3,0.0586688,57.9079
96,2560,6912,4,0.0596288,56.9756
96,2560,6912,5,0.0279904,121.377
96,2560,6912,6,0.0583936,58.1808
96,2560,6912,7,0.0515072,65.9594
96,2560,6912,8,0.041552,81.7623
96,2560,6912,9,0.0420192,80.8532
96,2560,6912,10,0.0324256,104.775
96,2560,6912,11,0.0251776,134.937
96,2560,6912,12,0.04352,78.0649
96,2560,6912,13,0.0250464,135.644
96,2560,6912,14,0.0268288,126.632
96,2560,6912,15,0.0252576,134.509
96,2560,6912,16,0.0245824,138.204
96,2560,6912,17,0.0286272,118.677
96,2560,6912,18,0.0227616,149.26
96,2560,6912,19,0.0362176,93.8048
96,2560,6912,20,0.029936,113.488
96,2560,6912,21,0.0351488,96.6572
96,2560,6912,22,0.0297344,114.258

128,2560,2560,0,0.0267072,62.8191
128,2560,2560,1,0.0288096,58.2348
128,2560,2560,2,0.0223232,75.156
128,2560,2560,3,0.033568,49.9798
128,2560,2560,4,0.0353056,47.52
128,2560,2560,5,0.0180576,92.9094
128,2560,2560,6,0.0293536,57.1556
128,2560,2560,7,0.0289152,58.0221
128,2560,2560,8,0.0245824,68.2489
128,2560,2560,9,0.0254368,65.9565
128,2560,2560,10,0.0220384,76.1272
128,2560,2560,11,0.015952,105.173
