M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.02384,140.748
256,2560,2560,1,0.0374784,89.5301
256,2560,2560,2,0.029296,114.536
256,2560,2560,3,0.0262464,127.844
256,2560,2560,4,0.0383296,87.5418

256,3840,2560,0,0.030384,165.652
256,3840,2560,1,0.0365984,137.524
256,3840,2560,2,0.0271904,185.108
256,3840,2560,3,0.027168,185.261
256,3840,2560,4,0.0361952,139.056

256,13824,2560,0,0.0591232,306.468
256,13824,2560,1,0.0569376,318.232
256,13824,2560,2,0.0574528,315.379
256,13824,2560,3,0.0556512,325.589
256,13824,2560,4,0.0562624,322.052

256,2560,6912,0,0.0320832,282.381
256,2560,6912,1,0.0664928,136.251
256,2560,6912,2,0.0458752,197.486
256,2560,6912,3,0.046096,196.54
256,2560,6912,4,0.0662624,136.725

512,2560,2560,0,0.029072,230.837
512,2560,2560,1,0.0369056,181.839
512,2560,2560,2,0.027776,241.607
512,2560,2560,3,0.0283008,237.127
512,2560,2560,4,0.0358848,187.012

512,3840,2560,0,0.0404032,249.147
512,3840,2560,1,0.0404896,248.615
512,3840,2560,2,0.0391104,257.382
512,3840,2560,3,0.0458272,219.658
512,3840,2560,4,0.0404256,249.009

512,13824,2560,0,0.0979552,369.953
512,13824,2560,1,0.0822816,440.424
512,13824,2560,2,0.0894176,405.276
512,13824,2560,3,0.091728,395.068
512,13824,2560,4,0.0836864,433.031

512,2560,6912,0,0.0533408,339.691
512,2560,6912,1,0.0667232,271.561
512,2560,6912,2,0.0513312,352.99
512,2560,6912,3,0.046512,389.564
512,2560,6912,4,0.0661504,273.912

1024,2560,2560,0,0.0448,299.593
1024,2560,2560,1,0.0422816,317.438
1024,2560,2560,2,0.0393568,341.028
1024,2560,2560,3,0.0476096,281.913
1024,2560,2560,4,0.0408704,328.398

1024,3840,2560,0,0.0615488,327.101
1024,3840,2560,1,0.0687168,292.98
1024,3840,2560,2,0.0625504,321.863
1024,3840,2560,3,0.0618528,325.493
1024,3840,2560,4,0.0655616,307.08

1024,13824,2560,0,0.166602,435.035
1024,13824,2560,1,0.146464,494.849
1024,13824,2560,2,0.152771,474.419
1024,13824,2560,3,0.159526,454.33
1024,13824,2560,4,0.142835,507.421

1024,2560,6912,0,0.0870208,416.438
1024,2560,6912,1,0.0720576,502.914
1024,2560,6912,2,0.0731264,495.564
1024,2560,6912,3,0.0854496,424.095
1024,2560,6912,4,0.0713792,507.694

2048,2560,2560,0,0.0754624,355.721
2048,2560,2560,1,0.0748832,358.472
2048,2560,2560,2,0.0719104,373.292
2048,2560,2560,3,0.070176,382.517
2048,2560,2560,4,0.0736128,364.659

2048,3840,2560,0,0.102934,391.175
2048,3840,2560,1,0.10263,392.333
2048,3840,2560,2,0.101062,398.42
2048,3840,2560,3,0.10201,394.721
2048,3840,2560,4,0.101315,397.426

2048,13824,2560,0,0.310742,466.48
2048,13824,2560,1,0.26711,542.679
2048,13824,2560,2,0.273197,530.589
2048,13824,2560,3,0.29063,498.761
2048,13824,2560,4,0.261757,553.778

2048,2560,6912,0,0.154858,468.027
2048,2560,6912,1,0.133072,544.649
2048,2560,6912,2,0.137203,528.25
2048,2560,6912,3,0.128086,565.849
2048,2560,6912,4,0.13345,543.108

4096,2560,2560,0,0.133946,400.813
4096,2560,2560,1,0.115574,464.524
4096,2560,2560,2,0.118154,454.384
4096,2560,2560,3,0.12504,429.359
4096,2560,2560,4,0.112243,478.31

4096,3840,2560,0,0.190419,422.912
4096,3840,2560,1,0.170422,472.536
4096,3840,2560,2,0.17096,471.05
4096,3840,2560,3,0.176234,456.954
4096,3840,2560,4,0.168115,479.021

4096,13824,2560,0,0.612979,472.953
4096,13824,2560,1,0.505584,573.417
4096,13824,2560,2,0.521238,556.195
4096,13824,2560,3,0.559395,518.257
4096,13824,2560,4,0.502026,577.481

4096,2560,6912,0,0.288787,501.944
4096,2560,6912,1,0.201312,720.052
4096,2560,6912,2,0.23184,625.238
4096,2560,6912,3,0.239568,605.069
4096,2560,6912,4,0.203424,712.576

8192,2560,2560,0,0.240666,446.155
8192,2560,2560,1,0.209126,513.442
8192,2560,2560,2,0.215322,498.669
8192,2560,2560,3,0.22657,473.913
8192,2560,2560,4,0.208704,514.481

8192,3840,2560,0,0.347075,464.053
8192,3840,2560,1,0.297894,540.666
8192,3840,2560,2,0.307072,524.507
8192,3840,2560,3,0.326483,493.322
8192,3840,2560,4,0.29408,547.678

8192,13824,2560,0,1.16433,497.987
8192,13824,2560,1,0.941258,616.006
8192,13824,2560,2,0.973565,595.564
8192,13824,2560,3,1.08832,532.767
8192,13824,2560,4,0.938832,617.598

8192,2560,6912,0,0.538112,538.755
8192,2560,6912,1,0.387859,747.463
8192,2560,6912,2,0.439024,660.352
8192,2560,6912,3,0.456557,634.993
8192,2560,6912,4,0.389251,744.79

16384,2560,2560,0,0.454534,472.458
16384,2560,2560,1,0.389565,551.252
16384,2560,2560,2,0.394234,544.724
16384,2560,2560,3,0.421139,509.923
