M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0362112,92.6631
256,2560,2560,1,0.0332224,100.999
256,2560,2560,2,0.0303648,110.504
256,2560,2560,3,0.0495712,67.6894
256,2560,2560,4,0.0486496,68.9716
256,2560,2560,5,0.0254304,131.946
256,2560,2560,6,0.0418848,80.1112
256,2560,2560,7,0.0366048,91.6668
256,2560,2560,8,0.0302688,110.855
256,2560,2560,9,0.0315808,106.249
256,2560,2560,10,0.0275104,121.97
256,2560,2560,11,0.0292736,114.624
256,2560,2560,12,0.0298944,112.243
256,2560,2560,13,0.0252576,132.849
256,2560,2560,14,0.0268256,125.084
256,2560,2560,15,0.0281152,119.346
256,2560,2560,16,0.0335424,100.036
256,2560,2560,17,0.0361312,92.8683
256,2560,2560,18,0.0321696,104.305
256,2560,2560,19,0.0369408,90.833
256,2560,2560,20,0.0381216,88.0195
256,2560,2560,21,0.0415488,80.7591
256,2560,2560,22,0.0369248,90.8724

256,3840,2560,0,0.0347392,144.884
256,3840,2560,1,0.0352896,142.625
256,3840,2560,2,0.0461504,109.06
256,3840,2560,3,0.0487072,103.335
256,3840,2560,4,0.0500992,100.464
256,3840,2560,5,0.0323808,155.437
256,3840,2560,6,0.0425536,118.278
256,3840,2560,7,0.0368448,136.604
256,3840,2560,8,0.0319488,157.538
256,3840,2560,9,0.0343296,146.613
256,3840,2560,10,0.0423552,118.832
256,3840,2560,11,0.0375456,134.055
256,3840,2560,12,0.0326528,154.142
256,3840,2560,13,0.0392928,128.094
256,3840,2560,14,0.0408256,123.285
256,3840,2560,15,0.0437024,115.169
256,3840,2560,16,0.0457184,110.091
256,3840,2560,17,0.0480288,104.795
256,3840,2560,18,0.0440672,114.216
256,3840,2560,19,0.0540032,93.2012
256,3840,2560,20,0.054464,92.4127
256,3840,2560,21,0.0579328,86.8794
256,3840,2560,22,0.0539744,93.251

256,13824,2560,0,0.0764128,237.125
256,13824,2560,1,0.0770656,235.117
256,13824,2560,2,0.092816,195.218
256,13824,2560,3,0.0703488,257.565
256,13824,2560,4,0.069088,262.265
256,13824,2560,5,0.0705472,256.841
256,13824,2560,6,0.05408,335.048
256,13824,2560,7,0.0662336,273.568
256,13824,2560,8,0.0654272,276.94
256,13824,2560,9,0.0724992,249.925
256,13824,2560,10,0.0809632,223.798
256,13824,2560,11,0.0835552,216.855
256,13824,2560,12,0.0604736,299.625
256,13824,2560,13,0.0747552,242.383
256,13824,2560,14,0.0773504,234.251
256,13824,2560,15,0.0872448,207.684
256,13824,2560,16,0.10184,177.92
256,13824,2560,17,0.113235,160.016
256,13824,2560,18,0.10216,177.363
256,13824,2560,19,0.143158,126.569
256,13824,2560,20,0.124586,145.437
256,13824,2560,21,0.151325,119.738
256,13824,2560,22,0.12577,144.068

256,2560,6912,0,0.056064,161.596
256,2560,6912,1,0.056416,160.587
256,2560,6912,2,0.0480256,188.643
256,2560,6912,3,0.0855584,105.889
256,2560,6912,4,0.0850656,106.502
256,2560,6912,5,0.0436704,207.456
256,2560,6912,6,0.080432,112.638
256,2560,6912,7,0.079952,113.314
256,2560,6912,8,0.0499104,181.519
256,2560,6912,9,0.0625408,144.861
256,2560,6912,10,0.0467328,193.862
256,2560,6912,11,0.0533312,169.876
256,2560,6912,12,0.0535424,169.206
256,2560,6912,13,0.0409888,221.029
256,2560,6912,14,0.0459232,197.279
256,2560,6912,15,0.0498816,181.624
256,2560,6912,16,0.0629312,143.962
256,2560,6912,17,0.0746848,121.306
256,2560,6912,18,0.062496,144.964
256,2560,6912,19,0.0671296,134.958
256,2560,6912,20,0.0766976,118.122
256,2560,6912,21,0.073952,122.508
256,2560,6912,22,0.072784,124.474

512,2560,2560,0,0.0357344,187.799
512,2560,2560,1,0.0380448,176.394
512,2560,2560,2,0.0427776,156.879
512,2560,2560,3,0.0492032,136.391
512,2560,2560,4,0.0486912,137.825
512,2560,2560,5,0.0361088,185.852
512,2560,2560,6,0.0438912,152.898
512,2560,2560,7,0.0417888,160.591
512,2560,2560,8,0.0336,199.729
512,2560,2560,9,0.037232,180.245
512,2560,2560,10,0.0442176,151.77
512,2560,2560,11,0.0408992,164.084
512,2560,2560,12,0.0347488,193.126
512,2560,2560,13,0.0422176,158.959
512,2560,2560,14,0.0441408,152.034
512,2560,2560,15,0.0467232,143.631
512,2560,2560,16,0.0492224,136.338
512,2560,2560,17,0.0547392,122.597
512,2560,2560,18,0.0488224,137.455
512,2560,2560,19,0.0646976,103.727
512,2560,2560,20,0.0579616,115.782
512,2560,2560,21,0.0692512,96.9064
512,2560,2560,22,0.0574912,116.729

512,3840,2560,0,0.0629152,159.998
512,3840,2560,1,0.0542976,185.392
512,3840,2560,2,0.065008,154.848
512,3840,2560,3,0.051568,195.205
512,3840,2560,4,0.0534976,188.164
512,3840,2560,5,0.0567776,177.294
512,3840,2560,6,0.0432288,232.862
512,3840,2560,7,0.0520064,193.559
512,3840,2560,8,0.05368,187.525
512,3840,2560,9,0.062096,162.109
512,3840,2560,10,0.0573024,175.67
512,3840,2560,11,0.0546336,184.252
512,3840,2560,12,0.052896,190.304
512,3840,2560,13,0.0539232,186.679
512,3840,2560,14,0.0552896,182.066
512,3840,2560,15,0.0634592,158.627
512,3840,2560,16,0.0648736,155.168
512,3840,2560,17,0.0724,139.038
512,3840,2560,18,0.0660224,152.468
512,3840,2560,19,0.0869152,115.818
512,3840,2560,20,0.0820256,122.722
