M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0271584,123.551
256,2560,2560,1,0.026624,126.031
256,2560,2560,2,0.0247808,135.405
256,2560,2560,3,0.0406208,82.6041
256,2560,2560,4,0.0377216,88.9528
256,2560,2560,5,0.0186176,180.23
256,2560,2560,6,0.0307712,109.045
256,2560,2560,7,0.0272864,122.971
256,2560,2560,8,0.0205344,163.406
256,2560,2560,9,0.0228,147.169
256,2560,2560,10,0.0194144,172.833
256,2560,2560,11,0.0210432,159.455
256,2560,2560,12,0.0218912,153.278
256,2560,2560,13,0.0190496,176.142
256,2560,2560,14,0.0195744,171.42
256,2560,2560,15,0.0198592,168.962
256,2560,2560,16,0.0247104,135.791
256,2560,2560,17,0.0277888,120.748
256,2560,2560,18,0.0247584,135.527
256,2560,2560,19,0.0278496,120.484
256,2560,2560,20,0.0281472,119.211
256,2560,2560,21,0.0309728,108.335
256,2560,2560,22,0.0285952,117.343

256,3840,2560,0,0.0270272,186.226
256,3840,2560,1,0.025776,195.266
256,3840,2560,2,0.0343232,146.64
256,3840,2560,3,0.0365024,137.886
256,3840,2560,4,0.036368,138.395
256,3840,2560,5,0.0250336,201.056
256,3840,2560,6,0.0346624,145.205
256,3840,2560,7,0.0311264,161.701
256,3840,2560,8,0.0235168,214.024
256,3840,2560,9,0.02712,185.589
256,3840,2560,10,0.0318848,157.855
256,3840,2560,11,0.0291808,172.482
256,3840,2560,12,0.0250624,200.825
256,3840,2560,13,0.0312352,161.138
256,3840,2560,14,0.0307072,163.908
256,3840,2560,15,0.0340768,147.701
256,3840,2560,16,0.03408,147.687
256,3840,2560,17,0.0345824,145.541
256,3840,2560,18,0.03408,147.687
256,3840,2560,19,0.0408512,123.207
256,3840,2560,20,0.0388576,129.528
256,3840,2560,21,0.0431136,116.742
256,3840,2560,22,0.0391328,128.618

256,13824,2560,0,0.0580928,311.904
256,13824,2560,1,0.056928,318.286
256,13824,2560,2,0.0654272,276.94
256,13824,2560,3,0.0534944,338.716
256,13824,2560,4,0.0551392,328.612
256,13824,2560,5,0.0530752,341.391
256,13824,2560,6,0.0436864,414.761
256,13824,2560,7,0.0513248,353.034
256,13824,2560,8,0.0498048,363.808
256,13824,2560,9,0.0548224,330.511
256,13824,2560,10,0.06312,287.063
256,13824,2560,11,0.0636192,284.81
256,13824,2560,12,0.0465184,389.51
256,13824,2560,13,0.057584,314.66
256,13824,2560,14,0.0607104,298.456
256,13824,2560,15,0.0687136,263.694
256,13824,2560,16,0.0809632,223.798
256,13824,2560,17,0.0908352,199.475
256,13824,2560,18,0.0812512,223.005
256,13824,2560,19,0.113827,159.183
256,13824,2560,20,0.098704,183.573
256,13824,2560,21,0.119936,151.076
256,13824,2560,22,0.0972032,186.407

256,2560,6912,0,0.0433504,208.988
256,2560,6912,1,0.0436352,207.624
256,2560,6912,2,0.0364352,248.652
256,2560,6912,3,0.0636448,142.348
256,2560,6912,4,0.0640256,141.501
256,2560,6912,5,0.0321312,281.959
256,2560,6912,6,0.0582624,155.498
256,2560,6912,7,0.0554464,163.396
256,2560,6912,8,0.0405408,223.471
256,2560,6912,9,0.0420416,215.494
256,2560,6912,10,0.0341408,265.363
256,2560,6912,11,0.0383584,236.185
256,2560,6912,12,0.04376,207.031
256,2560,6912,13,0.0316864,285.918
256,2560,6912,14,0.035872,252.556
256,2560,6912,15,0.0370656,244.423
256,2560,6912,16,0.0466912,194.034
256,2560,6912,17,0.0531648,170.408
256,2560,6912,18,0.0452864,200.053
256,2560,6912,19,0.0483136,187.519
256,2560,6912,20,0.0606656,149.338
256,2560,6912,21,0.0544416,166.411
256,2560,6912,22,0.0582592,155.507

512,2560,2560,0,0.0312832,214.52
512,2560,2560,1,0.0298272,224.992
512,2560,2560,2,0.0334016,200.915
512,2560,2560,3,0.0404448,165.927
512,2560,2560,4,0.0403392,166.361
512,2560,2560,5,0.029584,226.842
512,2560,2560,6,0.0349824,191.836
512,2560,2560,7,0.0346688,193.571
512,2560,2560,8,0.027072,247.89
512,2560,2560,9,0.0309696,216.693
512,2560,2560,10,0.0354464,189.325
512,2560,2560,11,0.0325024,206.474
512,2560,2560,12,0.0274976,244.054
512,2560,2560,13,0.0329056,203.944
512,2560,2560,14,0.0345536,194.217
512,2560,2560,15,0.037584,178.557
512,2560,2560,16,0.038064,176.305
512,2560,2560,17,0.0430176,156.003
512,2560,2560,18,0.0381088,176.098
512,2560,2560,19,0.0515072,130.29
512,2560,2560,20,0.0460128,145.848
512,2560,2560,21,0.0550752,121.85
512,2560,2560,22,0.0436448,153.761

512,3840,2560,0,0.0469728,214.301
512,3840,2560,1,0.0398304,252.73
512,3840,2560,2,0.0457792,219.889
512,3840,2560,3,0.0388352,259.206
512,3840,2560,4,0.0392,256.794
512,3840,2560,5,0.0414048,243.12
512,3840,2560,6,0.0308608,326.185
512,3840,2560,7,0.0384672,261.686
512,3840,2560,8,0.0365888,275.12
512,3840,2560,9,0.0446976,225.21
512,3840,2560,10,0.0431008,233.553
512,3840,2560,11,0.038912,258.695
512,3840,2560,12,0.038512,261.382
512,3840,2560,13,0.0384672,261.686
512,3840,2560,14,0.0418272,240.665
512,3840,2560,15,0.0464032,216.932
512,3840,2560,16,0.0486944,206.725
512,3840,2560,17,0.0543488,185.217
512,3840,2560,18,0.0488288,206.156
512,3840,2560,19,0.0648096,155.322
512,3840,2560,20,0.060112,167.46
512,3840,2560,21,0.069552,144.731
512,3840,2560,22,0.059632,168.808

512,13824,2560,0,0.0946816,382.744
512,13824,2560,1,0.093936,385.782
512,13824,2560,2,0.10825,334.771
512,13824,2560,3,0.0908992,398.67
512,13824,2560,4,0.0899936,402.682
512,13824,2560,5,0.0891552,406.469
512,13824,2560,6,0.063776,568.22
512,13824,2560,7,0.084304,429.858
512,13824,2560,8,0.0828544,437.379
512,13824,2560,9,0.0922304,392.916
512,13824,2560,10,0.108762,333.195
512,13824,2560,11,0.106922,338.929
512,13824,2560,12,0.077408,468.153
512,13824,2560,13,0.0977792,370.619
512,13824,2560,14,0.106614,339.905
512,13824,2560,15,0.118589,305.584
512,13824,2560,16,0.145027,249.876
512,13824,2560,17,0.161872,223.873
512,13824,2560,18,0.14993,241.705
512,13824,2560,19,0.207322,174.795
512,13824,2560,20,0.173914,208.372
512,13824,2560,21,0.21511,168.466
512,13824,2560,22,0.175763,206.18

512,2560,6912,0,0.0475872,380.762
512,2560,6912,1,0.0473568,382.614
512,2560,6912,2,0.0548608,330.279
512,2560,6912,3,0.065968,274.669
