M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.026224,127.953
256,2560,2560,1,0.02704,124.092
256,2560,2560,2,0.0228576,146.798
256,2560,2560,3,0.0366112,91.6507
256,2560,2560,4,0.0366336,91.5947
256,2560,2560,5,0.019648,170.778
256,2560,2560,6,0.0321504,104.367
256,2560,2560,7,0.0270816,123.901
256,2560,2560,8,0.022528,148.945
256,2560,2560,9,0.0245216,136.836
256,2560,2560,10,0.0204256,164.276
256,2560,2560,11,0.0213152,157.42
256,2560,2560,12,0.0234976,142.799
256,2560,2560,13,0.0194624,172.406
256,2560,2560,14,0.0201312,166.679
256,2560,2560,15,0.0204128,164.379
256,2560,2560,16,0.025216,133.068
256,2560,2560,17,0.026752,125.428
256,2560,2560,18,0.0247776,135.422
256,2560,2560,19,0.0292544,114.699
256,2560,2560,20,0.0300096,111.812
256,2560,2560,21,0.0296448,113.188
256,2560,2560,22,0.0304864,110.064

256,3840,2560,0,0.0290016,173.548
256,3840,2560,1,0.0281856,178.572
256,3840,2560,2,0.0341248,147.493
256,3840,2560,3,0.0383872,131.116
256,3840,2560,4,0.0399584,125.96
256,3840,2560,5,0.0285664,176.192
256,3840,2560,6,0.034608,145.434
256,3840,2560,7,0.0323648,155.514
256,3840,2560,8,0.0238816,210.755
256,3840,2560,9,0.0245824,204.747
256,3840,2560,10,0.0326272,154.263
256,3840,2560,11,0.0289952,173.586
256,3840,2560,12,0.026288,191.462
256,3840,2560,13,0.0309504,162.62
256,3840,2560,14,0.0325664,154.551
256,3840,2560,15,0.035136,143.248
256,3840,2560,16,0.0331648,151.762
256,3840,2560,17,0.0368512,136.581
256,3840,2560,18,0.0321344,156.629
256,3840,2560,19,0.041376,121.645
256,3840,2560,20,0.0403008,124.89
256,3840,2560,21,0.0435264,115.635
256,3840,2560,22,0.0405216,124.209

256,13824,2560,0,0.0568384,318.788
256,13824,2560,1,0.0556032,325.87
256,13824,2560,2,0.0672448,269.454
256,13824,2560,3,0.0534464,339.02
256,13824,2560,4,0.0534208,339.182
256,13824,2560,5,0.0522656,346.679
256,13824,2560,6,0.0431616,419.804
256,13824,2560,7,0.0512512,353.541
