M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0289091,116.069
256,2560,2560,1,0.0287942,116.532
256,2560,2560,2,0.0259344,129.382
256,2560,2560,3,0.0394813,84.9882
256,2560,2560,4,0.0393728,85.2224
256,2560,2560,5,0.0209341,160.286
256,2560,2560,6,0.0314566,106.669
256,2560,2560,7,0.0285293,117.614
256,2560,2560,8,0.0237056,141.546
256,2560,2560,9,0.025487,131.653
256,2560,2560,10,0.0218813,153.348
256,2560,2560,11,0.0230365,145.658
256,2560,2560,12,0.0249424,134.528
256,2560,2560,13,0.020776,161.506
256,2560,2560,14,0.0212698,157.757
256,2560,2560,15,0.0223597,150.067
256,2560,2560,16,0.0269078,124.701
256,2560,2560,17,0.0295277,113.637
256,2560,2560,18,0.0272179,123.281
256,2560,2560,19,0.0311174,107.832
256,2560,2560,20,0.0311552,107.701
256,2560,2560,21,0.0332544,100.902
256,2560,2560,22,0.0317667,105.628

256,3840,2560,0,0.0265744,189.399
256,3840,2560,1,0.0262042,192.075
256,3840,2560,2,0.0338912,148.509
256,3840,2560,3,0.0376794,133.579
256,3840,2560,4,0.0371363,135.532
256,3840,2560,5,0.0253859,198.266
256,3840,2560,6,0.0317123,158.713
256,3840,2560,7,0.028929,173.984
256,3840,2560,8,0.0219021,229.803
256,3840,2560,9,0.0237491,211.931
256,3840,2560,10,0.0308368,163.219
256,3840,2560,11,0.0275734,182.537
256,3840,2560,12,0.0222698,226.009
256,3840,2560,13,0.026713,188.417
256,3840,2560,14,0.028335,177.63
256,3840,2560,15,0.032848,153.226
256,3840,2560,16,0.0331347,151.9
256,3840,2560,17,0.0343318,146.603
256,3840,2560,18,0.0316403,159.074
256,3840,2560,19,0.0389059,129.368
256,3840,2560,20,0.037776,133.237
256,3840,2560,21,0.0437702,114.991
256,3840,2560,22,0.0395744,127.182

256,13824,2560,0,0.0561875,322.481
256,13824,2560,1,0.0551549,328.518
256,13824,2560,2,0.0654509,276.84
256,13824,2560,3,0.0516774,350.625
256,13824,2560,4,0.0524547,345.429
256,13824,2560,5,0.0521859,347.209
256,13824,2560,6,0.0413766,437.914
256,13824,2560,7,0.0490813,369.171
256,13824,2560,8,0.0475219,381.285
256,13824,2560,9,0.0526397,344.215
256,13824,2560,10,0.0592154,305.991
256,13824,2560,11,0.0608406,297.817
256,13824,2560,12,0.044248,409.496
256,13824,2560,13,0.0551258,328.692
256,13824,2560,14,0.0579795,312.514
256,13824,2560,15,0.0651731,278.019
256,13824,2560,16,0.0791145,229.027
256,13824,2560,17,0.0873462,207.443
256,13824,2560,18,0.0801821,225.978
256,13824,2560,19,0.112495,161.068
256,13824,2560,20,0.0958266,189.085
256,13824,2560,21,0.118014,153.535
256,13824,2560,22,0.0957094,189.317

256,2560,6912,0,0.0429539,210.917
256,2560,6912,1,0.0422038,214.665
256,2560,6912,2,0.0349347,259.332
256,2560,6912,3,0.0645357,140.383
256,2560,6912,4,0.0646912,140.045
256,2560,6912,5,0.0325485,278.345
256,2560,6912,6,0.0584736,154.937
256,2560,6912,7,0.055665,162.754
256,2560,6912,8,0.0396294,228.61
256,2560,6912,9,0.0426576,212.382
256,2560,6912,10,0.0348762,259.768
256,2560,6912,11,0.0392854,230.612
256,2560,6912,12,0.0402749,224.947
256,2560,6912,13,0.0308605,293.57
256,2560,6912,14,0.0354502,255.561
256,2560,6912,15,0.0370656,244.423
256,2560,6912,16,0.0447286,202.548
256,2560,6912,17,0.0525011,172.562
256,2560,6912,18,0.0458858,197.44
256,2560,6912,19,0.0489866,184.943
256,2560,6912,20,0.0594602,152.366
256,2560,6912,21,0.0539888,167.807
256,2560,6912,22,0.0573539,157.961

512,2560,2560,0,0.028592,234.712
512,2560,2560,1,0.0289629,231.706
512,2560,2560,2,0.0319712,209.904
512,2560,2560,3,0.0385293,174.176
512,2560,2560,4,0.0388621,172.685
512,2560,2560,5,0.0256458,261.676
512,2560,2560,6,0.0328912,204.033
512,2560,2560,7,0.0322083,208.359
512,2560,2560,8,0.0237459,282.612
512,2560,2560,9,0.027841,241.044
512,2560,2560,10,0.0346115,193.892
512,2560,2560,11,0.0323488,207.454
512,2560,2560,12,0.0245488,273.369
512,2560,2560,13,0.031447,213.403
512,2560,2560,14,0.0318637,210.612
512,2560,2560,15,0.0356115,188.447
512,2560,2560,16,0.0375878,178.539
512,2560,2560,17,0.0410995,163.284
512,2560,2560,18,0.0351981,190.661
