M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
16,2560,2560,0,0.0271264,7.73104
16,2560,2560,1,0.0270016,7.76677
16,2560,2560,2,0.0213664,9.81519
16,2560,2560,3,0.0336672,6.22907
16,2560,2560,4,0.0342688,6.11971
16,2560,2560,5,0.020592,10.1843
16,2560,2560,6,0.0317344,6.60845
16,2560,2560,7,0.0269632,7.77783
16,2560,2560,8,0.024208,8.66305
16,2560,2560,9,0.0257728,8.13708
16,2560,2560,10,0.0217728,9.63198
16,2560,2560,11,0.0185632,11.2974
16,2560,2560,12,0.024288,8.63452
16,2560,2560,13,0.0193248,10.8521
16,2560,2560,14,0.019696,10.6476
16,2560,2560,15,0.0176256,11.8983
16,2560,2560,16,0.0185952,11.2779
16,2560,2560,17,0.017696,11.851
16,2560,2560,18,0.0178528,11.7469
16,2560,2560,19,0.017552,11.9482
16,2560,2560,20,0.017568,11.9373
16,2560,2560,21,0.0176096,11.9091
16,2560,2560,22,0.0208992,10.0346

16,3840,2560,0,0.0256032,12.2865
16,3840,2560,1,0.02544,12.3653
16,3840,2560,2,0.0200512,15.6885
16,3840,2560,3,0.0324032,9.70808
16,3840,2560,4,0.0322112,9.76594
16,3840,2560,5,0.0201024,15.6485
16,3840,2560,6,0.0309312,10.1701
16,3840,2560,7,0.024736,12.7172
16,3840,2560,8,0.0225632,13.9419
16,3840,2560,9,0.0235552,13.3547
16,3840,2560,10,0.0200544,15.686
16,3840,2560,11,0.0163744,19.2113
16,3840,2560,12,0.022496,13.9835
16,3840,2560,13,0.0174208,18.0573
16,3840,2560,14,0.0178272,17.6457
16,3840,2560,15,0.0154784,20.3233
16,3840,2560,16,0.01632,19.2753
16,3840,2560,17,0.0154848,20.3149
16,3840,2560,18,0.015104,20.8271
16,3840,2560,19,0.0152992,20.5614
16,3840,2560,20,0.0185056,16.9988
16,3840,2560,21,0.0205312,15.3217
16,3840,2560,22,0.0277376,11.341

16,13824,2560,0,0.0280416,40.3851
16,13824,2560,1,0.0267136,42.3927
16,13824,2560,2,0.0216768,52.243
16,13824,2560,3,0.034352,32.9664
16,13824,2560,4,0.0334464,33.859
16,13824,2560,5,0.0206784,54.7655
16,13824,2560,6,0.0307968,36.7721
16,13824,2560,7,0.0284288,39.835
16,13824,2560,8,0.0234592,48.2737
16,13824,2560,9,0.0397728,28.4733
16,13824,2560,10,0.030752,36.8256
16,13824,2560,11,0.0225952,50.1196
16,13824,2560,12,0.0250144,45.2724
16,13824,2560,13,0.0202784,55.8457
16,13824,2560,14,0.0282912,40.0288
16,13824,2560,15,0.022816,49.6346
16,13824,2560,16,0.020272,55.8634
16,13824,2560,17,0.0230336,49.1657
