M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0284608,117.897
256,2560,2560,1,0.0468768,71.58
256,2560,2560,2,0.0357056,93.9753
256,2560,2560,3,0.0339168,98.9316
256,2560,2560,4,0.0482496,69.5434

256,3840,2560,0,0.0385504,130.561
256,3840,2560,1,0.04968,101.312
256,3840,2560,2,0.0366816,137.212
256,3840,2560,3,0.0360992,139.426
256,3840,2560,4,0.0480512,104.746

256,13824,2560,0,0.0716352,252.94
256,13824,2560,1,0.0626848,289.056
256,13824,2560,2,0.0644064,281.329
256,13824,2560,3,0.0663744,272.988
256,13824,2560,4,0.062336,290.673

256,2560,6912,0,0.0435552,208.005
256,2560,6912,1,0.0832416,108.836
256,2560,6912,2,0.0576192,157.234
256,2560,6912,3,0.0584,155.132
256,2560,6912,4,0.0830368,109.105

512,2560,2560,0,0.0380416,176.409
512,2560,2560,1,0.0496736,135.1
512,2560,2560,2,0.0373632,179.612
512,2560,2560,3,0.0376256,178.36
512,2560,2560,4,0.0500928,133.969

512,3840,2560,0,0.052448,191.93
512,3840,2560,1,0.0520448,193.417
512,3840,2560,2,0.0527936,190.673
512,3840,2560,3,0.0596064,168.88
512,3840,2560,4,0.0511936,196.633

512,13824,2560,0,0.124432,291.234
512,13824,2560,1,0.105379,343.889
512,13824,2560,2,0.112262,322.804
512,13824,2560,3,0.116438,311.227
512,13824,2560,4,0.104752,345.948

512,2560,6912,0,0.0650592,278.506
512,2560,6912,1,0.085424,212.111
512,2560,6912,2,0.0609792,297.141
512,2560,6912,3,0.0619488,292.49
512,2560,6912,4,0.0843296,214.864

1024,2560,2560,0,0.0552864,242.768
1024,2560,2560,1,0.0537056,249.914
1024,2560,2560,2,0.049248,272.534
1024,2560,2560,3,0.0598816,224.139
1024,2560,2560,4,0.052864,253.892

1024,3840,2560,0,0.0792,254.2
1024,3840,2560,1,0.0904448,222.596
1024,3840,2560,2,0.0828064,243.129
1024,3840,2560,3,0.0821056,245.204
1024,3840,2560,4,0.0908704,221.554

1024,13824,2560,0,0.222237,326.128
1024,13824,2560,1,0.191478,378.516
1024,13824,2560,2,0.196643,368.574
1024,13824,2560,3,0.206458,351.053
