M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.024208,138.609
256,2560,2560,1,0.0373504,89.8369
256,2560,2560,2,0.0266592,125.864
256,2560,2560,3,0.0257024,130.55
256,2560,2560,4,0.0395904,84.754

256,3840,2560,0,0.0281696,178.674
256,3840,2560,1,0.035984,139.872
256,3840,2560,2,0.0270368,186.16
256,3840,2560,3,0.0260064,193.536
256,3840,2560,4,0.0362496,138.847

256,13824,2560,0,0.0576672,314.206
256,13824,2560,1,0.0519232,348.965
256,13824,2560,2,0.0515104,351.762
256,13824,2560,3,0.0535264,338.513
256,13824,2560,4,0.0513696,352.726

256,2560,6912,0,0.0366176,247.414
256,2560,6912,1,0.0665184,136.198
256,2560,6912,2,0.0468288,193.464
256,2560,6912,3,0.0466432,194.234
256,2560,6912,4,0.0670336,135.152

320,2560,2560,0,0.0217952,192.442
320,2560,2560,1,0.0363424,115.411
320,2560,2560,2,0.02568,163.33
320,2560,2560,3,0.0259648,161.538
320,2560,2560,4,0.0346272,121.127

320,3840,2560,0,0.0308672,203.823
320,3840,2560,1,0.0396544,158.657
320,3840,2560,2,0.030176,208.492
320,3840,2560,3,0.030832,204.056
320,3840,2560,4,0.0396704,158.593

320,13824,2560,0,0.0674656,335.715
320,13824,2560,1,0.0704608,321.445
320,13824,2560,2,0.0696512,325.181
320,13824,2560,3,0.0659104,343.637
320,13824,2560,4,0.0708,319.905

320,2560,6912,0,0.0355648,318.422
320,2560,6912,1,0.0670048,169.012
320,2560,6912,2,0.0443104,255.575
320,2560,6912,3,0.045424,249.309
320,2560,6912,4,0.065024,174.161

384,2560,2560,0,0.0300288,167.611
384,2560,2560,1,0.0360864,139.475
384,2560,2560,2,0.0286048,175.955
384,2560,2560,3,0.0277696,181.247
384,2560,2560,4,0.0369952,136.049

384,3840,2560,0,0.0322496,234.104
384,3840,2560,1,0.0384736,196.232
384,3840,2560,2,0.029616,254.921
384,3840,2560,3,0.0297504,253.77
384,3840,2560,4,0.0358752,210.445

384,13824,2560,0,0.0792544,342.935
384,13824,2560,1,0.076496,355.301
384,13824,2560,2,0.0739616,367.476
384,13824,2560,3,0.068976,394.037
384,13824,2560,4,0.0763744,355.867

384,2560,6912,0,0.0500704,271.409
384,2560,6912,1,0.06672,203.68
384,2560,6912,2,0.0474752,286.245
384,2560,6912,3,0.0460928,294.83
384,2560,6912,4,0.0680096,199.818

448,2560,2560,0,0.0286336,205.075
448,2560,2560,1,0.0371936,157.877
448,2560,2560,2,0.028416,206.645
448,2560,2560,3,0.0301504,194.758
448,2560,2560,4,0.038224,153.621

448,3840,2560,0,0.035472,248.31
448,3840,2560,1,0.0403264,218.419
448,3840,2560,2,0.0376352,234.037
448,3840,2560,3,0.0427296,206.134
448,3840,2560,4,0.0409408,215.141

448,13824,2560,0,0.0856768,370.099
448,13824,2560,1,0.0747264,424.334
448,13824,2560,2,0.0787648,402.578
448,13824,2560,3,0.082544,384.146
448,13824,2560,4,0.074512,425.555

448,2560,6912,0,0.052592,301.462
448,2560,6912,1,0.0648064,244.644
448,2560,6912,2,0.0481888,329.007
448,2560,6912,3,0.0478976,331.008
448,2560,6912,4,0.064176,247.047

512,2560,2560,0,0.0285888,234.738
512,2560,2560,1,0.0391136,171.574
512,2560,2560,2,0.027296,245.856
512,2560,2560,3,0.0273312,245.539
512,2560,2560,4,0.0371872,180.462

512,3840,2560,0,0.0397248,253.402
512,3840,2560,1,0.0404992,248.556
512,3840,2560,2,0.0400608,251.276
512,3840,2560,3,0.0438016,229.816
512,3840,2560,4,0.0393792,255.626

512,13824,2560,0,0.0981824,369.097
512,13824,2560,1,0.080848,448.234
512,13824,2560,2,0.0865856,418.531
512,13824,2560,3,0.0894048,405.334
512,13824,2560,4,0.0818496,442.749

512,2560,6912,0,0.0510048,355.249
512,2560,6912,1,0.0677312,267.519
512,2560,6912,2,0.048144,376.358
512,2560,6912,3,0.0475424,381.121
512,2560,6912,4,0.0673216,269.147

1024,2560,2560,0,0.0456512,294.007
1024,2560,2560,1,0.0433888,309.337
1024,2560,2560,2,0.0401184,334.554
1024,2560,2560,3,0.048832,274.856
1024,2560,2560,4,0.0424224,316.384

1024,3840,2560,0,0.0625856,321.682
1024,3840,2560,1,0.0713728,282.077
1024,3840,2560,2,0.0663744,303.32
1024,3840,2560,3,0.0642944,313.132
1024,3840,2560,4,0.0691424,291.177

1024,13824,2560,0,0.169837,426.748
1024,13824,2560,1,0.146454,494.881
1024,13824,2560,2,0.151334,478.923
1024,13824,2560,3,0.159846,453.42
1024,13824,2560,4,0.144502,501.567

1024,2560,6912,0,0.0857952,422.387
1024,2560,6912,1,0.0723328,501.001
1024,2560,6912,2,0.0738496,490.711
1024,2560,6912,3,0.0851872,425.402
1024,2560,6912,4,0.0719232,503.854

2048,2560,2560,0,0.0739328,363.08
2048,2560,2560,1,0.0741088,362.218
2048,2560,2560,2,0.0720896,372.364
2048,2560,2560,3,0.0703456,381.595
