M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0214048,156.761
256,2560,2560,1,0.0373846,89.7546
256,2560,2560,2,0.0267843,125.276
256,2560,2560,3,0.0270515,124.039
256,2560,2560,4,0.036313,92.4035

256,3840,2560,0,0.028071,179.301
256,3840,2560,1,0.0355645,141.522
256,3840,2560,2,0.025735,195.576
256,3840,2560,3,0.0257651,195.348
256,3840,2560,4,0.0354576,141.949

256,13824,2560,0,0.0580739,312.006
256,13824,2560,1,0.0519811,348.576
256,13824,2560,2,0.0530224,341.731
256,13824,2560,3,0.0542429,334.042
256,13824,2560,4,0.0513715,352.713

256,2560,6912,0,0.0316736,286.033
256,2560,6912,1,0.0626445,144.621
256,2560,6912,2,0.042696,212.191
256,2560,6912,3,0.0436691,207.462
256,2560,6912,4,0.0621779,145.706

512,2560,2560,0,0.03136,213.995
512,2560,2560,1,0.039903,168.18
512,2560,2560,2,0.030439,220.47
512,2560,2560,3,0.03084,217.603
512,2560,2560,4,0.0395936,169.494

512,3840,2560,0,0.0405686,248.131
512,3840,2560,1,0.0396803,253.686
512,3840,2560,2,0.0404973,248.568
512,3840,2560,3,0.0454291,221.583
512,3840,2560,4,0.0391821,256.912

512,13824,2560,0,0.0973664,372.19
512,13824,2560,1,0.0825104,439.203
512,13824,2560,2,0.0864189,419.339
512,13824,2560,3,0.0899965,402.669
512,13824,2560,4,0.0815075,444.607

512,2560,6912,0,0.0511683,354.113
512,2560,6912,1,0.0671968,269.647
512,2560,6912,2,0.048504,373.565
512,2560,6912,3,0.048297,375.166
512,2560,6912,4,0.0662256,273.601

576,2560,2560,0,0.031151,242.359
576,2560,2560,1,0.039113,193.024
576,2560,2560,2,0.0307728,245.338
576,2560,2560,3,0.0308208,244.956
576,2560,2560,4,0.0385187,196.002

576,3840,2560,0,0.0409069,276.839
576,3840,2560,1,0.0393437,287.838
576,3840,2560,2,0.0390294,290.156
576,3840,2560,3,0.0447133,253.272
576,3840,2560,4,0.0391946,288.933

576,13824,2560,0,0.109799,371.303
576,13824,2560,1,0.103744,392.972
576,13824,2560,2,0.10584,385.191
576,13824,2560,3,0.108773,374.804
576,13824,2560,4,0.104356,390.668

576,2560,6912,0,0.0547587,372.257
576,2560,6912,1,0.0659869,308.915
576,2560,6912,2,0.0481357,423.476
576,2560,6912,3,0.0484189,420.999
576,2560,6912,4,0.0658371,309.617

640,2560,2560,0,0.0323565,259.256
640,2560,2560,1,0.0374391,224.06
640,2560,2560,2,0.0295846,283.546
640,2560,2560,3,0.0291123,288.146
640,2560,2560,4,0.0367405,228.321

640,3840,2560,0,0.0421974,298.191
640,3840,2560,1,0.0403987,311.468
640,3840,2560,2,0.0386602,325.475
640,3840,2560,3,0.0455757,276.088
640,3840,2560,4,0.0398995,315.365

640,13824,2560,0,0.11794,384.081
640,13824,2560,1,0.110587,409.619
640,13824,2560,2,0.109655,413.101
640,13824,2560,3,0.110513,409.892
640,13824,2560,4,0.110158,411.215

