M,N,K,AverageTimeMs,ThroughputTOPS
256,2560,2560,0.0321658,104.317
256,3840,2560,0.0456944,110.148
256,13824,2560,0.0887917,204.066
256,2560,6912,0.0654157,138.494
512,2560,2560,0.0465354,144.211
512,3840,2560,0.0651731,154.455
512,13824,2560,0.145401,249.233
512,2560,6912,0.0966099,187.552
576,2560,2560,0.0466013,162.007
576,3840,2560,0.0695318,162.87
576,13824,2560,0.207754,196.235
576,2560,6912,0.0966585,210.89
640,2560,2560,0.0442182,189.709
640,3840,2560,0.0687818,182.94
640,13824,2560,0.207728,218.066
640,2560,6912,0.0974704,232.37
704,2560,2560,0.0647872,142.427
704,3840,2560,0.0807798,171.345
704,13824,2560,0.213439,233.455
704,2560,6912,0.129309,192.672
768,2560,2560,0.066465,151.453
768,3840,2560,0.0812618,185.813
768,13824,2560,0.217478,249.948
768,2560,6912,0.130761,207.853
832,2560,2560,0.0663907,164.258
832,3840,2560,0.0826637,197.884
832,13824,2560,0.268842,219.043
832,2560,6912,0.140444,209.649
896,2560,2560,0.0675424,173.877
896,3840,2560,0.0821417,214.459
896,13824,2560,0.272617,232.626
896,2560,6912,0.141208,224.554
960,2560,2560,0.0683043,184.218
960,3840,2560,0.100355,188.076
960,13824,2560,0.282028,240.926
960,2560,6912,0.1519,223.66
1024,2560,2560,0.0690918,194.26
1024,3840,2560,0.101808,197.751
1024,13824,2560,0.285519,253.845
1024,2560,6912,0.151479,239.233
2048,2560,2560,0.113438,236.637
2048,3840,2560,0.210448,191.331
2048,13824,2560,0.557572,259.975
2048,2560,6912,0.292835,247.503
4096,2560,2560,0.216172,248.354
4096,3840,2560,0.326124,246.933
4096,13824,2560,1.09757,264.139
4096,2560,6912,0.535591,270.645
8192,2560,2560,0.420274,255.486
8192,3840,2560,0.624145,258.051
8192,13824,2560,2.18488,265.378
8192,2560,6912,1.07477,269.741
