M,N,K,AverageTimeMs,ThroughputTOPS
256,2560,2560,0.0229104,146.459
256,3840,2560,0.0306902,163.999
256,13824,2560,0.0627488,288.761
256,2560,6912,0.0405389,223.482
512,2560,2560,0.0321462,208.761
512,3840,2560,0.0505328,199.204
512,13824,2560,0.108136,335.123
512,2560,6912,0.0656281,276.092
576,2560,2560,0.0329648,229.024
576,3840,2560,0.0513872,220.378
576,13824,2560,0.123059,331.295
576,2560,6912,0.0657168,310.184
640,2560,2560,0.032353,259.284
640,3840,2560,0.0515677,244.008
640,13824,2560,0.128977,351.213
640,2560,6912,0.0707222,320.256
704,2560,2560,0.0466729,197.705
704,3840,2560,0.0538381,257.089
704,13824,2560,0.144425,345.012
704,2560,6912,0.0933994,266.749
768,2560,2560,0.0512224,196.522
768,3840,2560,0.0558541,270.338
768,13824,2560,0.151241,359.415
768,2560,6912,0.09924,273.872
832,2560,2560,0.0497888,219.029
832,3840,2560,0.0576621,283.684
832,13824,2560,0.165836,355.098
832,2560,6912,0.111561,263.927
896,2560,2560,0.0523037,224.536
896,3840,2560,0.0595181,295.979
896,13824,2560,0.172376,367.905
896,2560,6912,0.114962,275.821
960,2560,2560,0.0524426,239.937
960,3840,2560,0.0735513,256.615
960,13824,2560,0.188127,361.18
960,2560,6912,0.116099,292.628
1024,2560,2560,0.0530653,252.929
1024,3840,2560,0.0732643,274.795
1024,13824,2560,0.197311,367.327
1024,2560,6912,0.115674,313.284
2048,2560,2560,0.0819917,327.393
2048,3840,2560,0.119652,336.52
2048,13824,2560,0.374862,386.689
2048,2560,6912,0.188229,385.05
4096,2560,2560,0.1501,357.674
4096,3840,2560,0.219849,366.299
4096,13824,2560,0.725177,399.778
4096,2560,6912,0.363737,398.516
8192,2560,2560,0.286987,374.143
8192,3840,2560,0.416038,387.131
8192,13824,2560,1.42139,407.925
8192,2560,6912,0.702072,412.935
