M,N,K,AverageTimeMs,ThroughputTOPS
16,2560,2560,0.0216138,9.70286
16,3840,2560,0.0206803,15.2112
16,13824,2560,0.0377565,29.9938
16,2560,6912,0.0348944,16.227
32,2560,2560,0.0181757,23.0765
32,3840,2560,0.0189197,33.2535
32,13824,2560,0.0371901,60.9013
32,2560,6912,0.0308605,36.6962
48,2560,2560,0.0187354,33.5807
48,3840,2560,0.0186224,50.6765
48,13824,2560,0.0352554,96.3651
48,2560,6912,0.0329082,51.6192
64,2560,2560,0.0215386,38.9469
64,3840,2560,0.0183098,68.7224
64,13824,2560,0.0379213,119.454
64,2560,6912,0.0346909,65.2888
80,2560,2560,0.0227251,46.1417
80,3840,2560,0.0213584,73.6415
80,13824,2560,0.0386874,146.361
80,2560,6912,0.0371565,76.1955
96,2560,2560,0.018185,69.1941
96,3840,2560,0.0195411,96.588
96,13824,2560,0.0408586,166.3
96,2560,6912,0.0336134,101.072
112,2560,2560,0.0220298,66.6374
112,3840,2560,0.020937,105.173
112,13824,2560,0.0407386,194.588
112,2560,6912,0.0364973,108.6
128,2560,2560,0.020472,81.952
128,3840,2560,0.0196477,128.085
128,13824,2560,0.0416365,217.59
128,2560,6912,0.0367821,123.154
144,2560,2560,0.019488,96.8512
144,3840,2560,0.022943,123.399
144,13824,2560,0.0545891,186.707
144,2560,6912,0.0399459,127.574
160,2560,2560,0.0202074,103.782
160,3840,2560,0.0238154,132.088
160,13824,2560,0.0552435,204.995
160,2560,6912,0.0400474,141.39
176,2560,2560,0.02028,113.751
176,3840,2560,0.0222054,155.831
176,13824,2560,0.0563021,221.254
176,2560,6912,0.0417485,149.192
192,2560,2560,0.0199504,126.142
192,3840,2560,0.0243274,155.17
192,13824,2560,0.0577994,235.116
192,2560,6912,0.0402253,168.918
208,2560,2560,0.0197171,138.271
208,3840,2560,0.0281491,145.278
208,13824,2560,0.0620077,237.422
208,2560,6912,0.041185,178.73
224,2560,2560,0.0213037,137.817
224,3840,2560,0.0308675,142.675
224,13824,2560,0.0598944,264.707
224,2560,6912,0.039745,199.453
240,2560,2560,0.0244854,128.473
240,3840,2560,0.0296624,159.076
240,13824,2560,0.0612966,277.127
240,2560,6912,0.0423875,200.377
256,2560,2560,0.0216963,154.655
256,3840,2560,0.0324432,155.138
256,13824,2560,0.0635171,285.268
256,2560,6912,0.0426698,212.321
