M,N,K,AverageTimeMs,ThroughputTOPS
16,2560,2560,0.0209654,10.0029
16,3840,2560,0.0199997,15.7289
16,13824,2560,0.0382227,29.628
16,2560,6912,0.0346256,16.353
32,2560,2560,0.0204035,20.5568
32,3840,2560,0.0192586,32.6684
32,13824,2560,0.0369555,61.2878
32,2560,6912,0.0342506,33.064
48,2560,2560,0.019817,31.7478
48,3840,2560,0.01916,49.2546
48,13824,2560,0.0384186,88.4309
48,2560,6912,0.0325786,52.1415
64,2560,2560,0.0222515,37.699
64,3840,2560,0.0180371,69.7612
64,13824,2560,0.0366787,123.501
64,2560,6912,0.0343187,65.9968
80,2560,2560,0.0229203,45.7488
80,3840,2560,0.0199888,78.6873
80,13824,2560,0.0405699,139.569
80,2560,6912,0.0359792,78.6887
96,2560,2560,0.0177024,71.0803
96,3840,2560,0.0210906,89.492
96,13824,2560,0.042328,160.527
96,2560,6912,0.0318832,106.557
112,2560,2560,0.0200243,73.3112
112,3840,2560,0.0201763,109.138
112,13824,2560,0.0424778,186.621
112,2560,6912,0.0350781,112.994
128,2560,2560,0.0221168,75.8573
128,3840,2560,0.018887,133.244
128,13824,2560,0.0449523,201.54
128,2560,6912,0.0342118,132.406
144,2560,2560,0.0198304,95.179
144,3840,2560,0.0281078,100.725
144,13824,2560,0.0529504,192.485
144,2560,6912,0.0360294,141.442
160,2560,2560,0.0186509,112.443
160,3840,2560,0.0293712,107.102
160,13824,2560,0.0531376,213.119
160,2560,6912,0.0372586,151.973
176,2560,2560,0.0207254,111.306
176,3840,2560,0.0299786,115.426
176,13824,2560,0.0571997,217.782
176,2560,6912,0.037959,164.086
192,2560,2560,0.0195546,128.695
192,3840,2560,0.0291757,129.384
192,13824,2560,0.0587955,231.132
192,2560,6912,0.0370291,183.498
208,2560,2560,0.0195078,139.754
208,3840,2560,0.028353,144.233
208,13824,2560,0.0599283,245.66
208,2560,6912,0.0371296,198.252
224,2560,2560,0.0195581,150.118
224,3840,2560,0.0295514,149.029
224,13824,2560,0.0613994,258.219
224,2560,6912,0.0384042,206.416
240,2560,2560,0.0212854,147.788
240,3840,2560,0.0313465,150.53
240,13824,2560,0.0611511,277.786
240,2560,6912,0.0415159,204.584
256,2560,2560,0.0228022,147.154
256,3840,2560,0.0306355,164.292
256,13824,2560,0.0618586,292.916
256,2560,6912,0.0417987,216.746
