M,N,K,AverageTimeMs,ThroughputTOPS
256,2560,2560,0.0333184,100.708
256,3840,2560,0.0452256,111.29
256,13824,2560,0.0800576,226.329
256,2560,6912,0.0624768,145.009

512,2560,2560,0.0418112,160.505
512,3840,2560,0.077056,130.637
512,13824,2560,0.143821,251.972
512,2560,6912,0.0984896,183.973

1024,2560,2560,0.0754592,177.868
1024,3840,2560,0.10976,183.424
1024,13824,2560,0.285536,253.83
1024,2560,6912,0.17752,204.139

2048,2560,2560,0.126995,211.374
2048,3840,2560,0.180138,223.525
2048,13824,2560,0.556304,260.568
2048,2560,6912,0.331798,218.439

4096,2560,2560,0.222525,241.263
4096,3840,2560,0.345907,232.81
4096,13824,2560,1.09368,265.078
4096,2560,6912,0.534934,270.977

8192,2560,2560,0.416877,257.568
8192,3840,2560,0.620979,259.367
8192,13824,2560,2.16209,268.176
8192,2560,6912,1.05828,273.946

