M,N,K,AverageTimeMs,ThroughputTOPS
256,2560,2560,0.0300752,111.568
256,3840,2560,0.0439914,114.413
256,13824,2560,0.0815152,222.282
256,2560,6912,0.0634394,142.809
512,2560,2560,0.0457402,146.718
512,3840,2560,0.0659696,152.59
512,13824,2560,0.144653,250.523
512,2560,6912,0.0964073,187.946
576,2560,2560,0.0448397,168.372
576,3840,2560,0.0677709,167.102
576,13824,2560,0.187705,217.195
576,2560,6912,0.098297,207.375
640,2560,2560,0.045184,185.654
640,3840,2560,0.0708992,177.476
640,13824,2560,0.191131,237.003
640,2560,6912,0.0967594,234.078
704,2560,2560,0.0622659,148.195
704,3840,2560,0.0769702,179.825
704,13824,2560,0.214232,232.591
704,2560,6912,0.12449,200.13
768,2560,2560,0.0662663,151.907
768,3840,2560,0.0772115,195.56
768,13824,2560,0.217528,249.891
768,2560,6912,0.128393,211.686
832,2560,2560,0.0729248,149.54
832,3840,2560,0.0790061,207.045
832,13824,2560,0.257388,228.791
832,2560,6912,0.156436,188.217
896,2560,2560,0.0753283,155.905
896,3840,2560,0.0782057,225.253
896,13824,2560,0.260335,243.601
896,2560,6912,0.137205,231.106
960,2560,2560,0.0749267,167.936
960,3840,2560,0.101578,185.811
960,13824,2560,0.284567,238.776
960,2560,6912,0.175399,193.695
1024,2560,2560,0.0765974,175.225
1024,3840,2560,0.100994,199.345
1024,13824,2560,0.286489,252.986
1024,2560,6912,0.176994,204.746
2048,2560,2560,0.128616,208.71
2048,3840,2560,0.181808,221.471
2048,13824,2560,0.560409,258.66
2048,2560,6912,0.296858,244.149
4096,2560,2560,0.221709,242.151
4096,3840,2560,0.324922,247.846
4096,13824,2560,1.10503,262.354
4096,2560,6912,0.538282,269.292
8192,2560,2560,0.421139,254.961
8192,3840,2560,0.622412,258.77
8192,13824,2560,2.1632,268.039
8192,2560,6912,1.07321,270.133
