M,N,K,AverageTimeMs,ThroughputTOPS
256,2560,2560,0.0216323,155.112
256,3840,2560,0.0311904,161.369
256,13824,2560,0.0638858,283.622
256,2560,6912,0.0408522,221.768
512,2560,2560,0.030241,221.914
512,3840,2560,0.0506294,198.824
512,13824,2560,0.108759,333.202
512,2560,6912,0.0621168,291.699
576,2560,2560,0.033063,228.344
576,3840,2560,0.0524912,215.743
576,13824,2560,0.136838,297.933
576,2560,6912,0.0662618,307.633
640,2560,2560,0.0343603,244.137
640,3840,2560,0.0528573,238.054
640,13824,2560,0.1379,328.488
640,2560,6912,0.0698381,324.311
704,2560,2560,0.0488275,188.981
704,3840,2560,0.0525209,263.537
704,13824,2560,0.146553,340.002
704,2560,6912,0.094464,263.742
768,2560,2560,0.0500291,201.209
768,3840,2560,0.054728,275.901
768,13824,2560,0.151595,358.576
768,2560,6912,0.104286,260.62
832,2560,2560,0.0496259,219.748
832,3840,2560,0.056447,289.79
832,13824,2560,0.166709,353.239
832,2560,6912,0.111468,264.148
896,2560,2560,0.0523408,224.377
896,3840,2560,0.0591686,297.727
896,13824,2560,0.173691,365.119
896,2560,6912,0.116314,272.615
960,2560,2560,0.0521482,241.292
960,3840,2560,0.07332,257.425
960,13824,2560,0.189952,357.711
960,2560,6912,0.111197,305.527
1024,2560,2560,0.052049,257.868
1024,3840,2560,0.0753587,267.158
1024,13824,2560,0.19702,367.87
1024,2560,6912,0.117812,307.597
2048,2560,2560,0.0810966,331.007
2048,3840,2560,0.122188,329.535
2048,13824,2560,0.375907,385.615
2048,2560,6912,0.186378,388.874
4096,2560,2560,0.14987,358.225
4096,3840,2560,0.217311,370.578
4096,13824,2560,0.725655,399.516
4096,2560,6912,0.365887,396.174
8192,2560,2560,0.284391,377.558
8192,3840,2560,0.415565,387.572
8192,13824,2560,1.42188,407.784
8192,2560,6912,0.705013,411.212
