M,N,K,AverageTimeMs,ThroughputTOPS
32,2560,2560,0.0186592,22.4785
32,3840,2560,0.0213088,29.5252
32,13824,2560,0.037616,60.2117
32,2560,6912,0.0342464,33.0681
64,2560,2560,0.0212896,39.4024
64,3840,2560,0.019872,63.3198
64,13824,2560,0.0384928,117.68
64,2560,6912,0.0357888,63.2858
96,2560,2560,0.0201984,62.2966
96,3840,2560,0.0203456,92.7688
96,13824,2560,0.0425152,159.82
96,2560,6912,0.0356512,95.2951
128,2560,2560,0.0216672,77.4314
128,3840,2560,0.0197504,127.419
128,13824,2560,0.0442688,204.652
128,2560,6912,0.0376992,120.158
160,2560,2560,0.0211616,99.1018
160,3840,2560,0.0301312,104.401
160,13824,2560,0.0558272,202.851
160,2560,6912,0.0402848,140.557
192,2560,2560,0.0207456,121.307
192,3840,2560,0.0300128,125.775
192,13824,2560,0.0584544,232.481
192,2560,6912,0.0394848,172.086
224,2560,2560,0.0216832,135.405
224,3840,2560,0.0295712,148.929
224,13824,2560,0.0613312,258.506
224,2560,6912,0.0398752,198.801
256,2560,2560,0.0240192,139.698
256,3840,2560,0.0306208,164.371
256,13824,2560,0.0633952,285.817
256,2560,6912,0.043552,208.02
