M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
32,2560,2560,0,2.55196,0.164356
32,2560,2560,1,2.494,0.168176
32,2560,2560,2,2.49511,0.168101
32,2560,2560,3,2.48715,0.168639
32,2560,2560,4,2.51696,0.166642
32,2560,2560,5,2.51044,0.167075
32,2560,2560,6,2.49794,0.167911
32,2560,2560,7,2.52324,0.166227
32,2560,2560,8,2.51575,0.166722
32,2560,2560,9,0.845763,0.495919
32,2560,2560,10,2.49746,0.167943
32,2560,2560,11,2.50487,0.167446
32,2560,2560,12,2.49621,0.168027
32,2560,2560,13,2.51996,0.166444
32,2560,2560,14,2.49572,0.16806
32,2560,2560,15,2.51512,0.166763
32,2560,2560,16,2.49752,0.167939
32,2560,2560,17,2.52399,0.166177
32,2560,2560,18,2.53915,0.165185
32,2560,2560,19,1.19381,0.351336
32,2560,2560,20,2.49986,0.167782
32,2560,2560,21,2.51252,0.166936
32,2560,2560,22,2.52998,0.165784
32,2560,2560,23,2.49141,0.16835
32,2560,2560,24,2.49875,0.167856
32,2560,2560,25,2.51443,0.166809
32,2560,2560,26,2.49073,0.168397
32,2560,2560,27,2.49427,0.168158

32,3840,2560,0,0.037904,16.5984
32,3840,2560,1,2.03347,0.309396
32,3840,2560,2,2.48292,0.253389
32,3840,2560,3,2.48695,0.252979
32,3840,2560,4,2.51162,0.250494
32,3840,2560,5,2.48968,0.252702
32,3840,2560,6,2.48731,0.252942
32,3840,2560,7,2.49361,0.252303
32,3840,2560,8,2.47716,0.253978
32,3840,2560,9,2.46732,0.254991
32,3840,2560,10,2.47388,0.254316
32,3840,2560,11,2.48767,0.252906
32,3840,2560,12,2.49847,0.251813
32,3840,2560,13,2.50236,0.25142
32,3840,2560,14,1.33301,0.471974
32,3840,2560,15,1.34214,0.468763
32,3840,2560,16,2.46119,0.255626
32,3840,2560,17,2.51925,0.249735
32,3840,2560,18,2.4988,0.251779
32,3840,2560,19,2.50114,0.251544
32,3840,2560,20,2.4918,0.252487
32,3840,2560,21,2.51112,0.250544
32,3840,2560,22,2.50549,0.251107
32,3840,2560,23,2.4834,0.25334
32,3840,2560,24,2.47372,0.254332
32,3840,2560,25,2.51343,0.250313
32,3840,2560,26,2.4918,0.252486
32,3840,2560,27,2.4901,0.252659

32,13824,2560,0,2.49968,0.906087
32,13824,2560,1,2.45926,0.920976
32,13824,2560,2,2.46682,0.918157
32,13824,2560,3,0.501866,4.51301
32,13824,2560,4,2.2083,1.02564
32,13824,2560,5,2.45035,0.924328
32,13824,2560,6,2.45592,0.922229
32,13824,2560,7,2.44878,0.924918
32,13824,2560,8,2.44259,0.927265
32,13824,2560,9,2.43992,0.928278
32,13824,2560,10,2.43061,0.931832
32,13824,2560,11,2.43772,0.929117
32,13824,2560,12,2.42651,0.933409
32,13824,2560,13,2.46567,0.918582
32,13824,2560,14,2.44695,0.92561
32,13824,2560,15,2.44578,0.926053
32,13824,2560,16,2.44954,0.924634
32,13824,2560,17,0.814826,2.77964
32,13824,2560,18,2.20395,1.02767
32,13824,2560,19,2.42881,0.932525
32,13824,2560,20,2.44276,0.927197
32,13824,2560,21,2.46016,0.92064
32,13824,2560,22,2.4506,0.924231
32,13824,2560,23,2.43216,0.93124
32,13824,2560,24,2.43508,0.930121
32,13824,2560,25,2.44001,0.928244
32,13824,2560,26,2.43149,0.931495
32,13824,2560,27,2.43919,0.928556

32,2560,6912,0,2.58988,0.437264
32,2560,6912,1,2.53167,0.447319
32,2560,6912,2,2.48802,0.455166
32,2560,6912,3,2.49568,0.453769
32,2560,6912,4,2.51823,0.449706
32,2560,6912,5,2.50359,0.452335
32,2560,6912,6,2.49044,0.454724
32,2560,6912,7,2.4954,0.453821
32,2560,6912,8,2.50322,0.452402
32,2560,6912,9,2.50946,0.451277
32,2560,6912,10,2.39742,0.472367
32,2560,6912,11,0.0262208,43.1895
32,2560,6912,12,1.99539,0.567539
32,2560,6912,13,2.51332,0.450583
32,2560,6912,14,2.51399,0.450465
32,2560,6912,15,2.51852,0.449654
32,2560,6912,16,2.51027,0.451132
32,2560,6912,17,2.52061,0.44928
32,2560,6912,18,2.50989,0.451199
32,2560,6912,19,2.50602,0.451896
32,2560,6912,20,2.4899,0.454823
32,2560,6912,21,2.51435,0.4504
32,2560,6912,22,2.53355,0.446986
32,2560,6912,23,2.50594,0.451911
32,2560,6912,24,2.50501,0.452078
32,2560,6912,25,0.95735,1.18291
32,2560,6912,26,1.98457,0.570634
32,2560,6912,27,2.47395,0.457755

64,2560,2560,0,2.53913,0.330373
64,2560,2560,1,2.498,0.335813
64,2560,2560,2,2.48838,0.337111
64,2560,2560,3,2.48236,0.337929
64,2560,2560,4,2.49799,0.335815
64,2560,2560,5,2.48205,0.33797
64,2560,2560,6,2.49454,0.336279
64,2560,2560,7,2.49662,0.335998
64,2560,2560,8,2.47212,0.339328
64,2560,2560,9,0.782909,1.07147
64,2560,2560,10,1.76606,0.474991
64,2560,2560,11,2.45909,0.341127
64,2560,2560,12,2.47651,0.338728
64,2560,2560,13,2.4938,0.336378
64,2560,2560,14,2.46507,0.340299
64,2560,2560,15,2.47767,0.338568
64,2560,2560,16,2.46772,0.339933
64,2560,2560,17,2.49587,0.336099
64,2560,2560,18,2.48473,0.337607
64,2560,2560,19,2.48945,0.336966
64,2560,2560,20,2.47745,0.338599
64,2560,2560,21,2.5218,0.332643
64,2560,2560,22,2.51354,0.333737
64,2560,2560,23,1.50194,0.55852
64,2560,2560,24,0.590896,1.41964
64,2560,2560,25,2.47318,0.339183
64,2560,2560,26,2.46967,0.339665
64,2560,2560,27,2.48135,0.338066

64,3840,2560,0,2.52,0.499323
64,3840,2560,1,2.46864,0.50971
64,3840,2560,2,2.44466,0.514711
64,3840,2560,3,2.45637,0.512257
64,3840,2560,4,2.49708,0.503904
64,3840,2560,5,2.47297,0.508819
64,3840,2560,6,2.46039,0.51142
64,3840,2560,7,0.0256896,48.9806
64,3840,2560,8,2.19539,0.573153
64,3840,2560,9,2.43296,0.517185
64,3840,2560,10,2.45492,0.512559
64,3840,2560,11,2.45664,0.5122
64,3840,2560,12,2.45482,0.51258
64,3840,2560,13,2.46372,0.510727
64,3840,2560,14,2.44379,0.514894
64,3840,2560,15,2.46721,0.510006
64,3840,2560,16,2.44625,0.514375
64,3840,2560,17,2.47282,0.50885
64,3840,2560,18,2.46399,0.510672
64,3840,2560,19,2.49603,0.504118
64,3840,2560,20,2.46844,0.509753
64,3840,2560,21,0.928941,1.35454
64,3840,2560,22,2.20988,0.569395
64,3840,2560,23,2.44073,0.515538
64,3840,2560,24,2.46371,0.51073
64,3840,2560,25,2.47918,0.507544
64,3840,2560,26,2.45805,0.511906
64,3840,2560,27,2.45461,0.512623

64,13824,2560,0,2.44718,1.85105
64,13824,2560,1,2.41055,1.87917
64,13824,2560,2,2.36542,1.91503
64,13824,2560,3,2.36564,1.91485
64,13824,2560,4,2.37656,1.90605
64,13824,2560,5,2.36809,1.91287
64,13824,2560,6,2.38247,1.90132
64,13824,2560,7,2.39123,1.89436
64,13824,2560,8,2.38465,1.89959
64,13824,2560,9,2.37489,1.90739
64,13824,2560,10,0.317158,14.2826
64,13824,2560,11,2.34574,1.9311
64,13824,2560,12,2.36916,1.912
64,13824,2560,13,2.41398,1.87651
64,13824,2560,14,2.38188,1.90179
64,13824,2560,15,2.37682,1.90584
64,13824,2560,16,2.38261,1.90121
64,13824,2560,17,2.38232,1.90144
64,13824,2560,18,2.3924,1.89343
64,13824,2560,19,2.36512,1.91527
64,13824,2560,20,2.38,1.9033
64,13824,2560,21,2.39043,1.895
64,13824,2560,22,2.39494,1.89143
64,13824,2560,23,2.3733,1.90867
64,13824,2560,24,0.573309,7.90124
64,13824,2560,25,2.38064,1.90279
64,13824,2560,26,2.38332,1.90065
64,13824,2560,27,2.38488,1.89941

64,2560,6912,0,2.56156,0.884197
64,2560,6912,1,2.52102,0.898415
