M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0261472,128.329
256,2560,2560,1,0.0472896,70.9552
256,2560,2560,2,0.0334048,100.448
256,2560,2560,3,0.0327424,102.48
256,2560,2560,4,0.0449568,74.6371

256,3840,2560,0,0.0378368,133.023
256,3840,2560,1,0.0488992,102.929
256,3840,2560,2,0.035152,143.183
256,3840,2560,3,0.0338464,148.706
256,3840,2560,4,0.0474432,106.088

256,13824,2560,0,0.0761184,238.042
256,13824,2560,1,0.0658816,275.03
256,13824,2560,2,0.0713792,253.847
256,13824,2560,3,0.0707552,256.086
256,13824,2560,4,0.0677376,267.494

256,2560,6912,0,0.0421504,214.937
256,2560,6912,1,0.0821824,110.239
256,2560,6912,2,0.0578336,156.651
256,2560,6912,3,0.056288,160.953
256,2560,6912,4,0.0811456,111.647

512,2560,2560,0,0.0363136,184.804
512,2560,2560,1,0.0463744,144.711
512,2560,2560,2,0.037456,179.167
512,2560,2560,3,0.0346752,193.536
512,2560,2560,4,0.045392,147.843

512,3840,2560,0,0.0512224,196.522
512,3840,2560,1,0.0488672,205.994
512,3840,2560,2,0.053168,189.331
512,3840,2560,3,0.0598016,168.329
512,3840,2560,4,0.0502336,200.39

512,13824,2560,0,0.12577,288.136
512,13824,2560,1,0.107466,337.213
512,13824,2560,2,0.112896,320.993
512,13824,2560,3,0.117366,308.766
512,13824,2560,4,0.106112,341.514

512,2560,6912,0,0.0679008,266.851
512,2560,6912,1,0.0847552,213.785
512,2560,6912,2,0.0613984,295.112
512,2560,6912,3,0.0606112,298.945
512,2560,6912,4,0.0836736,216.549

1024,2560,2560,0,0.0565632,237.288
1024,2560,2560,1,0.0538464,249.26
1024,2560,2560,2,0.0495392,270.932
1024,2560,2560,3,0.0616768,217.615
1024,2560,2560,4,0.0514624,260.807

1024,3840,2560,0,0.0818976,245.827
1024,3840,2560,1,0.0916704,219.62
1024,3840,2560,2,0.085168,236.388
1024,3840,2560,3,0.08424,238.992
1024,3840,2560,4,0.0910976,221.001

1024,13824,2560,0,0.217728,332.881
1024,13824,2560,1,0.190269,380.922
1024,13824,2560,2,0.197101,367.718
1024,13824,2560,3,0.207264,349.687
1024,13824,2560,4,0.186598,388.415

1024,2560,6912,0,0.111558,324.841
1024,2560,6912,1,0.0917792,394.848
1024,2560,6912,2,0.0921408,393.298
1024,2560,6912,3,0.111242,325.766
1024,2560,6912,4,0.0914848,396.118

2048,2560,2560,0,0.0974432,275.479
2048,2560,2560,1,0.0961792,279.099
2048,2560,2560,2,0.097488,275.352
2048,2560,2560,3,0.0908864,295.353
2048,2560,2560,4,0.0959584,279.741

2048,3840,2560,0,0.13465,299.038
2048,3840,2560,1,0.13353,301.546
2048,3840,2560,2,0.131626,305.908
2048,3840,2560,3,0.13297,302.816
2048,3840,2560,4,0.133408,301.821

2048,13824,2560,0,0.401363,361.157
2048,13824,2560,1,0.350077,414.067
2048,13824,2560,2,0.356934,406.111
2048,13824,2560,3,0.383901,377.585
2048,13824,2560,4,0.344186,421.154

2048,2560,6912,0,0.200208,362.011
2048,2560,6912,1,0.172643,419.811
2048,2560,6912,2,0.176496,410.647
2048,2560,6912,3,0.166662,434.877
2048,2560,6912,4,0.172458,420.263

4096,2560,2560,0,0.176282,304.553
4096,2560,2560,1,0.148877,360.614
4096,2560,2560,2,0.153818,349.031
4096,2560,2560,3,0.162013,331.376
4096,2560,2560,4,0.146323,366.908

4096,3840,2560,0,0.246435,326.782
4096,3840,2560,1,0.224957,357.983
4096,3840,2560,2,0.222566,361.827
4096,3840,2560,3,0.229078,351.542
4096,3840,2560,4,0.220128,365.836

4096,13824,2560,0,0.798234,363.19
4096,13824,2560,1,0.666496,434.977
4096,13824,2560,2,0.676211,428.727
4096,13824,2560,3,0.736752,393.498
4096,13824,2560,4,0.659402,439.657

4096,2560,6912,0,0.374141,387.435
4096,2560,6912,1,0.262579,552.044
4096,2560,6912,2,0.297875,486.63
4096,2560,6912,3,0.310653,466.615
4096,2560,6912,4,0.259885,557.767

8192,2560,2560,0,0.309376,347.067
8192,2560,2560,1,0.272435,394.127
8192,2560,2560,2,0.279885,383.637
8192,2560,2560,3,0.295645,363.186
8192,2560,2560,4,0.276285,388.636

8192,3840,2560,0,0.447245,360.119
8192,3840,2560,1,0.389152,413.878
8192,3840,2560,2,0.395709,407.02
8192,3840,2560,3,0.424272,379.618
8192,3840,2560,4,0.386179,417.064

8192,13824,2560,0,1.49142,388.771
8192,13824,2560,1,1.23548,469.31
8192,13824,2560,2,1.25615,461.585
8192,13824,2560,3,1.42981,405.523
8192,13824,2560,4,1.22422,473.625

8192,2560,6912,0,0.700234,414.019
8192,2560,6912,1,0.495789,584.746
8192,2560,6912,2,0.561312,516.487
8192,2560,6912,3,0.590291,491.131
8192,2560,6912,4,0.49537,585.24

16384,2560,2560,0,0.586534,366.131
16384,2560,2560,1,0.504874,425.351
16384,2560,2560,2,0.510454,420.7
16384,2560,2560,3,0.555686,386.456
16384,2560,2560,4,0.501869,427.897

16384,3840,2560,0,0.859126,374.942
16384,3840,2560,1,0.727923,442.523
16384,3840,2560,2,0.732803,439.576
16384,3840,2560,3,0.81303,396.2
16384,3840,2560,4,0.723808,445.039

16384,13824,2560,0,2.99339,387.401
16384,13824,2560,1,2.4228,478.637
16384,13824,2560,2,2.44836,473.641
16384,13824,2560,3,2.82948,409.843
16384,13824,2560,4,2.405,482.18

16384,2560,6912,0,1.34148,432.226
16384,2560,6912,1,0.946579,612.543
16384,2560,6912,2,1.05458,549.814
16384,2560,6912,3,1.13197,512.221
16384,2560,6912,4,0.945955,612.947

32768,2560,2560,0,1.12992,380.114
32768,2560,2560,1,0.92855,462.545
32768,2560,2560,2,0.939091,457.354
32768,2560,2560,3,1.05791,405.986
32768,2560,2560,4,0.91865,467.531

32768,3840,2560,0,1.66843,386.139
32768,3840,2560,1,1.3524,476.371
32768,3840,2560,2,1.37659,468.001
32768,3840,2560,3,1.57527,408.973
32768,3840,2560,4,1.34598,478.645

32768,13824,2560,0,5.92347,391.541
32768,13824,2560,1,4.65771,497.945
32768,13824,2560,2,4.73907,489.396
32768,13824,2560,3,5.58232,415.469
32768,13824,2560,4,4.61321,502.748

32768,2560,6912,0,2.61405,443.618
32768,2560,6912,1,1.80223,643.449
32768,2560,6912,2,2.01184,576.409
32768,2560,6912,3,2.20132,526.792
32768,2560,6912,4,1.80157,643.682

65536,2560,2560,0,2.19681,391.019
65536,2560,2560,1,1.77475,484.009
65536,2560,2560,2,1.78731,480.608
65536,2560,2560,3,2.09006,410.99
65536,2560,2560,4,1.7583,488.536

65536,3840,2560,0,3.28215,392.575
