M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
16,2560,2560,0,0.0273472,7.66862
16,2560,2560,1,0.0269392,7.78476
16,2560,2560,2,0.0208806,10.0435
16,2560,2560,3,0.0343949,6.09728
16,2560,2560,4,0.0343008,6.114
16,2560,2560,5,0.0202637,10.3493
16,2560,2560,6,0.0315616,6.64463
16,2560,2560,7,0.0269971,7.76806
16,2560,2560,8,0.0249392,8.40906
16,2560,2560,9,0.0258518,8.1122
16,2560,2560,10,0.0217024,9.66323
16,2560,2560,11,0.0185114,11.329
16,2560,2560,12,0.0248826,8.4282
16,2560,2560,13,0.01968,10.6563
16,2560,2560,14,0.0200365,10.4667
16,2560,2560,15,0.0177539,11.8123
16,2560,2560,16,0.0187693,11.1733
16,2560,2560,17,0.0177021,11.8469
16,2560,2560,18,0.0176378,11.8901
16,2560,2560,19,0.0166742,12.5772
16,2560,2560,20,0.017841,11.7547
16,2560,2560,21,0.0175398,11.9565
16,2560,2560,22,0.020936,10.017

16,3840,2560,0,0.0258211,12.1828
16,3840,2560,1,0.0250682,12.5487
16,3840,2560,2,0.019249,16.3423
16,3840,2560,3,0.0322688,9.74851
16,3840,2560,4,0.0324442,9.69582
16,3840,2560,5,0.0179642,17.5111
16,3840,2560,6,0.029337,10.7227
16,3840,2560,7,0.0245731,12.8015
16,3840,2560,8,0.0223718,14.0611
16,3840,2560,9,0.023241,13.5353
16,3840,2560,10,0.0192582,16.3345
16,3840,2560,11,0.0161293,19.5032
16,3840,2560,12,0.0222592,14.1323
16,3840,2560,13,0.0171827,18.3075
16,3840,2560,14,0.0173882,18.0912
16,3840,2560,15,0.0150374,20.9193
16,3840,2560,16,0.0161949,19.4242
16,3840,2560,17,0.0151946,20.703
16,3840,2560,18,0.0150038,20.9662
16,3840,2560,19,0.0140995,22.3109
16,3840,2560,20,0.0179402,17.5346
16,3840,2560,21,0.0201635,15.6011
16,3840,2560,22,0.0273862,11.4865

16,13824,2560,0,0.0270499,41.8656
16,13824,2560,1,0.0261946,43.2327
16,13824,2560,2,0.0211872,53.4503
16,13824,2560,3,0.0343386,32.9793
16,13824,2560,4,0.0341491,33.1623
16,13824,2560,5,0.0206925,54.7282
16,13824,2560,6,0.030775,36.7981
16,13824,2560,7,0.0279552,40.5099
16,13824,2560,8,0.0236566,47.8708
16,13824,2560,9,0.0390438,29.0049
16,13824,2560,10,0.0307824,36.7893
16,13824,2560,11,0.0222387,50.923
16,13824,2560,12,0.024193,46.8096
16,13824,2560,13,0.0195792,57.8401
16,13824,2560,14,0.0275469,41.1104
16,13824,2560,15,0.022047,51.3657
16,13824,2560,16,0.0192838,58.726
16,13824,2560,17,0.0224809,50.3743
16,13824,2560,18,0.0188701,60.0136
16,13824,2560,19,0.0247309,45.7914
16,13824,2560,20,0.0296464,38.199
16,13824,2560,21,0.0342096,33.1036
16,13824,2560,22,0.0485731,23.3146

16,2560,6912,0,0.043896,12.8994
16,2560,6912,1,0.0438134,12.9237
16,2560,6912,2,0.0326659,17.334
16,2560,6912,3,0.0626867,9.03271
16,2560,6912,4,0.062073,9.12202
16,2560,6912,5,0.0310138,18.2574
16,2560,6912,6,0.0583997,9.69579
16,2560,6912,7,0.0487526,11.6144
16,2560,6912,8,0.0419002,13.5138
16,2560,6912,9,0.0443664,12.7626
16,2560,6912,10,0.0344672,16.4281
16,2560,6912,11,0.0272403,20.7865
16,2560,6912,12,0.0429238,13.1915
16,2560,6912,13,0.0288832,19.6042
16,2560,6912,14,0.0306714,18.4612
16,2560,6912,15,0.0250483,22.6056
16,2560,6912,16,0.0275248,20.5717
16,2560,6912,17,0.0249642,22.6818
16,2560,6912,18,0.0252333,22.4399
16,2560,6912,19,0.0229642,24.6572
16,2560,6912,20,0.0253088,22.3729
16,2560,6912,21,0.0231696,24.4385
16,2560,6912,22,0.0330093,17.1537

32,2560,2560,0,0.0255581,16.4109
32,2560,2560,1,0.024687,16.9899
32,2560,2560,2,0.0192307,21.8104
32,2560,2560,3,0.0332624,12.6097
32,2560,2560,4,0.0337978,12.41
32,2560,2560,5,0.0203331,20.6279
32,2560,2560,6,0.0322947,12.9876
32,2560,2560,7,0.0271395,15.4546
32,2560,2560,8,0.0245994,17.0505
32,2560,2560,9,0.026664,15.7302
32,2560,2560,10,0.022871,18.3389
32,2560,2560,11,0.018359,22.846
32,2560,2560,12,0.0254307,16.4931
32,2560,2560,13,0.0207277,20.2353
32,2560,2560,14,0.0198826,21.0954
32,2560,2560,15,0.0192013,21.8439
32,2560,2560,16,0.01948,21.5313
32,2560,2560,17,0.0176771,23.7273
32,2560,2560,18,0.0186205,22.5252
32,2560,2560,19,0.0164458,25.5039
32,2560,2560,20,0.0174976,23.9707
32,2560,2560,21,0.0182384,22.9971
32,2560,2560,22,0.0210813,19.8959

32,3840,2560,0,0.0243926,25.7924
32,3840,2560,1,0.0246672,25.5053
32,3840,2560,2,0.0185594,33.8991
32,3840,2560,3,0.0322928,19.4825
32,3840,2560,4,0.0321187,19.5881
32,3840,2560,5,0.0174086,36.1398
32,3840,2560,6,0.0287027,21.9194
32,3840,2560,7,0.0239008,26.3232
32,3840,2560,8,0.0210957,29.8234
32,3840,2560,9,0.0224918,27.9722
32,3840,2560,10,0.0179626,35.0254
32,3840,2560,11,0.0149443,42.0993
32,3840,2560,12,0.0217046,28.9867
32,3840,2560,13,0.0160742,39.14
32,3840,2560,14,0.0169501,37.1176
32,3840,2560,15,0.0143549,43.828
32,3840,2560,16,0.0155478,40.4651
32,3840,2560,17,0.0143008,43.9937
32,3840,2560,18,0.0144845,43.4358
32,3840,2560,19,0.0144778,43.456
32,3840,2560,20,0.017743,35.4587
32,3840,2560,21,0.0203402,30.9312
32,3840,2560,22,0.0265504,23.6963

32,13824,2560,0,0.025024,90.5101
32,13824,2560,1,0.0261779,86.5204
32,13824,2560,2,0.0213133,106.268
32,13824,2560,3,0.0341917,66.242
32,13824,2560,4,0.0338864,66.8387
32,13824,2560,5,0.0194874,116.225
32,13824,2560,6,0.0280355,80.7876
32,13824,2560,7,0.0277533,81.6092
32,13824,2560,8,0.0226275,100.096
32,13824,2560,9,0.0404189,56.0363
32,13824,2560,10,0.031745,71.3475
32,13824,2560,11,0.0248061,91.3052
32,13824,2560,12,0.024145,93.8052
32,13824,2560,13,0.0202774,111.697
32,13824,2560,14,0.0298355,75.9137
32,13824,2560,15,0.0244029,92.8138
32,13824,2560,16,0.0195968,115.576
32,13824,2560,17,0.0243789,92.9052
32,13824,2560,18,0.0195968,115.576
32,13824,2560,19,0.0255443,88.6665
32,13824,2560,20,0.0320163,70.7428
32,13824,2560,21,0.0369165,61.3526
32,13824,2560,22,0.0479875,47.1982

32,2560,6912,0,0.0398611,28.4102
32,2560,6912,1,0.0398768,28.399
32,2560,6912,2,0.0308774,36.676
32,2560,6912,3,0.061143,18.5215
32,2560,6912,4,0.0588429,19.2455
32,2560,6912,5,0.0324611,34.8867
32,2560,6912,6,0.0589392,19.2141
32,2560,6912,7,0.0481277,23.5304
32,2560,6912,8,0.0428035,26.4572
32,2560,6912,9,0.0441677,25.6401
32,2560,6912,10,0.0359626,31.49
32,2560,6912,11,0.0275898,41.0465
32,2560,6912,12,0.0437123,25.9072
32,2560,6912,13,0.0299779,37.7765
32,2560,6912,14,0.0274851,41.2027
32,2560,6912,15,0.0216864,52.2199
32,2560,6912,16,0.0283146,39.9958
32,2560,6912,17,0.0214445,52.809
32,2560,6912,18,0.0253462,44.6797
32,2560,6912,19,0.0228758,49.5047
32,2560,6912,20,0.0263574,42.9655
32,2560,6912,21,0.0242941,46.6147
32,2560,6912,22,0.0331997,34.1106

48,2560,2560,0,0.0240771,26.1304
48,2560,2560,1,0.023927,26.2943
48,2560,2560,2,0.0185181,33.9747
48,2560,2560,3,0.0315872,19.9177
48,2560,2560,4,0.032232,19.5193
48,2560,2560,5,0.0173174,36.3302
48,2560,2560,6,0.0287206,21.9057
48,2560,2560,7,0.0247168,25.4542
48,2560,2560,8,0.0216403,29.0728
48,2560,2560,9,0.0225414,27.9106
48,2560,2560,10,0.0187706,33.5177
48,2560,2560,11,0.0154614,40.6913
48,2560,2560,12,0.0217053,28.9858
48,2560,2560,13,0.0159613,39.417
48,2560,2560,14,0.0172352,36.5035
48,2560,2560,15,0.0143459,43.8554
48,2560,2560,16,0.0163139,38.565
48,2560,2560,17,0.0145056,43.3726
48,2560,2560,18,0.0143936,43.7101
48,2560,2560,19,0.0143709,43.7792
48,2560,2560,20,0.0145091,43.3621
48,2560,2560,21,0.0144557,43.5224
48,2560,2560,22,0.0178397,35.2666

48,3840,2560,0,0.0235754,40.0299
48,3840,2560,1,0.023345,40.4249
48,3840,2560,2,0.0182058,51.8363
48,3840,2560,3,0.0316208,29.8449
48,3840,2560,4,0.0314496,30.0073
48,3840,2560,5,0.0170013,55.5087
48,3840,2560,6,0.0279133,33.8089
48,3840,2560,7,0.0243581,38.7435
48,3840,2560,8,0.0215206,43.8518
48,3840,2560,9,0.0222458,42.4224
48,3840,2560,10,0.0178643,52.827
48,3840,2560,11,0.0149786,63.0046
48,3840,2560,12,0.0210202,44.8959
48,3840,2560,13,0.0163869,57.5899
48,3840,2560,14,0.0161469,58.4459
48,3840,2560,15,0.0148794,63.4247
48,3840,2560,16,0.0155075,60.8555
48,3840,2560,17,0.017135,55.0753
48,3840,2560,18,0.0141587,66.6528
48,3840,2560,19,0.0192509,49.0221
48,3840,2560,20,0.0178861,52.7627
48,3840,2560,21,0.0203757,46.3159
48,3840,2560,22,0.0271514,34.7577

48,13824,2560,0,0.027487,123.6
48,13824,2560,1,0.027281,124.533
48,13824,2560,2,0.0234074,145.142
48,13824,2560,3,0.0329693,103.047
48,13824,2560,4,0.0317434,107.027
48,13824,2560,5,0.0224176,151.55
48,13824,2560,6,0.0335293,101.326
48,13824,2560,7,0.0314048,108.18
48,13824,2560,8,0.0261744,129.798
48,13824,2560,9,0.0416544,81.5613
48,13824,2560,10,0.0343363,98.9444
48,13824,2560,11,0.0250339,135.711
48,13824,2560,12,0.0252826,134.377
48,13824,2560,13,0.0221421,153.436
48,13824,2560,14,0.0313126,108.499
48,13824,2560,15,0.025113,135.284
48,13824,2560,16,0.0304714,111.494
48,13824,2560,17,0.0336576,100.94
48,13824,2560,18,0.0305411,111.24
48,13824,2560,19,0.0394048,86.2176
48,13824,2560,20,0.0361418,94.0017
48,13824,2560,21,0.0404003,84.0931
48,13824,2560,22,0.049847,68.1562

48,2560,6912,0,0.0405734,41.8671
48,2560,6912,1,0.0405987,41.8411
48,2560,6912,2,0.0300624,56.5056
48,2560,6912,3,0.0603885,28.1294
48,2560,6912,4,0.0604464,28.1025
