M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0355712,94.3303
256,2560,2560,1,0.0322144,104.16
256,2560,2560,2,0.0318016,105.512
256,2560,2560,3,0.0493952,67.9306
256,2560,2560,4,0.048928,68.5792
256,2560,2560,5,0.0260416,128.849
256,2560,2560,6,0.0412352,81.3733
256,2560,2560,7,0.0364192,92.1339
256,2560,2560,8,0.029856,112.388
256,2560,2560,9,0.0324256,103.481
256,2560,2560,10,0.027696,121.153
256,2560,2560,11,0.0290272,115.597
256,2560,2560,12,0.03088,108.661
256,2560,2560,13,0.0254848,131.664
256,2560,2560,14,0.0273696,122.597
256,2560,2560,15,0.027216,123.289
256,2560,2560,16,0.032672,102.701
256,2560,2560,17,0.0369472,90.8172
256,2560,2560,18,0.0327392,102.49
256,2560,2560,19,0.0379776,88.3532
256,2560,2560,20,0.0392096,85.5771
256,2560,2560,21,0.0416288,80.6039
256,2560,2560,22,0.0398848,84.1284

256,3840,2560,0,0.0358272,140.484
256,3840,2560,1,0.0374912,134.249
256,3840,2560,2,0.0426016,118.145
256,3840,2560,3,0.0488064,103.125
256,3840,2560,4,0.04936,101.968
256,3840,2560,5,0.0339712,148.16
256,3840,2560,6,0.04184,120.296
256,3840,2560,7,0.0401728,125.288
256,3840,2560,8,0.0298016,168.889
256,3840,2560,9,0.0334048,150.672
256,3840,2560,10,0.0432544,116.362
256,3840,2560,11,0.0391104,128.691
256,3840,2560,12,0.03288,153.077
256,3840,2560,13,0.0379456,132.642
256,3840,2560,14,0.0408448,123.227
256,3840,2560,15,0.0434912,115.728
256,3840,2560,16,0.0446656,112.685
256,3840,2560,17,0.0482112,104.398
256,3840,2560,18,0.0439232,114.59
256,3840,2560,19,0.0537024,93.7233
256,3840,2560,20,0.0524992,95.8713
256,3840,2560,21,0.0575968,87.3862
256,3840,2560,22,0.0525696,95.7429

256,13824,2560,0,0.0715008,253.415
256,13824,2560,1,0.0708512,255.739
256,13824,2560,2,0.0842496,215.068
256,13824,2560,3,0.065888,275.003
256,13824,2560,4,0.0647776,279.717
256,13824,2560,5,0.0648448,279.427
256,13824,2560,6,0.0505632,358.351
256,13824,2560,7,0.0615328,294.467
256,13824,2560,8,0.0600992,301.491
256,13824,2560,9,0.0685856,264.187
