M,N,K,AlgorithmID,AverageTimeMs,ThroughputTOPS
256,2560,2560,0,0.0276352,121.419
256,2560,2560,1,0.0477184,70.3176
256,2560,2560,2,0.0352352,95.2299
256,2560,2560,3,0.0339424,98.857
256,2560,2560,4,0.0477792,70.2281

256,3840,2560,0,0.0364576,138.055
256,3840,2560,1,0.0489088,102.909
256,3840,2560,2,0.0351392,143.235
256,3840,2560,3,0.0346784,145.138
256,3840,2560,4,0.0459584,109.516

256,13824,2560,0,0.0723104,250.578
256,13824,2560,1,0.0610304,296.891
256,13824,2560,2,0.0658176,275.297
256,13824,2560,3,0.0668832,270.911
256,13824,2560,4,0.0626048,289.425

256,2560,6912,0,0.0431808,209.808
256,2560,6912,1,0.0849056,106.703
256,2560,6912,2,0.0569504,159.08
256,2560,6912,3,0.0570144,158.902
256,2560,6912,4,0.0837088,108.229

512,2560,2560,0,0.0394176,170.251
512,2560,2560,1,0.0500512,134.08
512,2560,2560,2,0.0390208,171.982
512,2560,2560,3,0.0384992,174.312
512,2560,2560,4,0.049872,134.562

512,3840,2560,0,0.051568,195.205
512,3840,2560,1,0.0505888,198.983
512,3840,2560,2,0.0514752,195.557
512,3840,2560,3,0.0587584,171.317
512,3840,2560,4,0.0513088,196.191

512,13824,2560,0,0.125984,287.646
512,13824,2560,1,0.105731,342.744
512,13824,2560,2,0.110234,328.745
512,13824,2560,3,0.115734,313.12
512,13824,2560,4,0.104314,347.402

512,2560,6912,0,0.0649312,279.055
512,2560,6912,1,0.0854592,212.024
512,2560,6912,2,0.0611104,296.503
512,2560,6912,3,0.0612544,295.806
512,2560,6912,4,0.0850752,212.981

1024,2560,2560,0,0.0558432,240.347
1024,2560,2560,1,0.0557504,240.748
1024,2560,2560,2,0.0502016,267.357
1024,2560,2560,3,0.0603968,222.227
1024,2560,2560,4,0.0531744,252.41

1024,3840,2560,0,0.0797728,252.375
1024,3840,2560,1,0.0909664,221.32
1024,3840,2560,2,0.0855584,235.309
1024,3840,2560,3,0.0827616,243.261
1024,3840,2560,4,0.090032,223.617

1024,13824,2560,0,0.22111,327.789
1024,13824,2560,1,0.189741,381.982
1024,13824,2560,2,0.199222,363.802
1024,13824,2560,3,0.205274,353.078
1024,13824,2560,4,0.18735,386.856

1024,2560,6912,0,0.110243,328.717
1024,2560,6912,1,0.0925984,391.354
1024,2560,6912,2,0.0932032,388.815
1024,2560,6912,3,0.110742,327.235
1024,2560,6912,4,0.091568,395.758

2048,2560,2560,0,0.0978656,274.29
2048,2560,2560,1,0.096896,277.035
2048,2560,2560,2,0.0946784,283.523
2048,2560,2560,3,0.0899936,298.283
2048,2560,2560,4,0.0968864,277.062

2048,3840,2560,0,0.135453,297.265
2048,3840,2560,1,0.134262,299.9
2048,3840,2560,2,0.132966,302.823
2048,3840,2560,3,0.134314,299.786
2048,3840,2560,4,0.133123,302.467

2048,13824,2560,0,0.404374,358.468
2048,13824,2560,1,0.355616,407.617
2048,13824,2560,2,0.359245,403.5
2048,13824,2560,3,0.381062,380.397
2048,13824,2560,4,0.352166,411.61

2048,2560,6912,0,0.201843,359.079
2048,2560,6912,1,0.175562,412.833
2048,2560,6912,2,0.182826,396.43
2048,2560,6912,3,0.165834,437.05
2048,2560,6912,4,0.173514,417.705

4096,2560,2560,0,0.175584,305.763
4096,2560,2560,1,0.146726,365.899
4096,2560,2560,2,0.151309,354.818
4096,2560,2560,3,0.161539,332.347
4096,2560,2560,4,0.14455,371.407

4096,3840,2560,0,0.243229,331.09
4096,3840,2560,1,0.22464,358.488
4096,3840,2560,2,0.22017,365.766
4096,3840,2560,3,0.227046,354.688
4096,3840,2560,4,0.22137,363.784

4096,13824,2560,0,0.767344,377.81
4096,13824,2560,1,0.667968,434.018
4096,13824,2560,2,0.651651,444.886
4096,13824,2560,3,0.720867,402.169
4096,13824,2560,4,0.662915,437.326

4096,2560,6912,0,0.374717,386.839
4096,2560,6912,1,0.258541,560.666
4096,2560,6912,2,0.298403,485.769
4096,2560,6912,3,0.306637,472.726
4096,2560,6912,4,0.256512,565.101

8192,2560,2560,0,0.317411,338.281
8192,2560,2560,1,0.275978,389.068
8192,2560,2560,2,0.277702,386.652
8192,2560,2560,3,0.293203,366.211
8192,2560,2560,4,0.270694,396.662

8192,3840,2560,0,0.449005,358.707
8192,3840,2560,1,0.393693,409.104
8192,3840,2560,2,0.392493,410.355
8192,3840,2560,3,0.417283,385.976
8192,3840,2560,4,0.389658,413.341

8192,13824,2560,0,1.48856,389.517
8192,13824,2560,1,1.24978,463.94
8192,13824,2560,2,1.21938,475.506
8192,13824,2560,3,1.40565,412.492
