# GPU: NVIDIA A100 80GB PCIe
# CC: 8.0
# torch: 2.9.1+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: NTRRcol, dtype: int8, warmup=25, repeat=100, verify=True
# M_list: [16, 64, 128, 512, 2048, 8192, 16384]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,best_id1,lat_us1,tops1,best_id2,lat_us2,tops2,best_id3,lat_us3,tops3
16,3840,2560,0,12.104,25.989847,2,19.476,16.151419,3,19.579,16.066946
16,2560,2560,0,12.984,16.151421,3,20.347,10.306995,2,20.675,10.143635
16,13824,2560,0,13.804,82.041542,2,21.330,53.092655,3,21.453,52.788551
16,2560,6912,0,23.224,24.380951,2,39.475,14.343968,3,39.557,14.314263
64,3840,2560,0,13.005,96.755905,2,19.313,65.153763,3,19.456,64.673683
64,2560,2560,0,13.373,62.725880,2,20.091,41.753315,3,20.296,41.331989
64,13824,2560,0,17.695,255.999985,3,21.524,210.450989,2,21.617,209.553772
64,2560,6912,0,23.962,94.523079,2,38.492,58.841179,3,38.676,58.560764
128,3840,2560,0,13.435,187.317062,2,19.272,130.584488,3,19.354,130.031754
128,2560,2560,0,13.332,125.837166,2,19.507,86.005249,3,19.692,85.200203
128,13824,2560,3,25.190,359.648773,2,25.477,355.601257,0,28.385,319.168854
128,2560,6912,0,24.207,187.126892,3,37.038,122.302452,2,37.120,122.032555
512,3840,2560,4,31.601,318.548279,1,31.969,314.875092,2,32.686,307.969910
512,2560,2560,2,21.699,309.277985,3,21.832,307.392120,0,22.159,302.846558
512,13824,2560,1,74.547,486.118652,4,76.298,474.962280,2,79.043,458.471832
512,2560,6912,2,39.301,461.040161,3,39.414,459.722504,0,43.991,411.888275
2048,3840,2560,2,94.812,424.685150,3,95.375,422.177368,0,96.215,418.492981
2048,2560,2560,3,62.372,430.379242,2,66.396,404.293610,4,67.246,399.183807
2048,13824,2560,4,277.719,521.948853,1,287.744,503.764252,2,288.655,502.173737
2048,2560,6912,1,127.396,568.916321,3,127.887,566.729736,4,132.311,547.781799
8192,3840,2560,4,312.125,516.014587,2,323.594,497.726013,1,324.086,496.971161
8192,2560,2560,4,209.613,512.250122,1,220.375,487.233856,2,220.457,487.052826
8192,13824,2560,1,1061.059,546.454834,4,1063.004,545.454651,2,1083.382,535.195129
8192,2560,6912,1,414.095,700.105164,4,420.393,689.617371,2,479.631,604.444031
16384,3840,2560,4,605.491,532.002014,2,609.792,528.249878,1,610.970,527.231750
16384,2560,2560,2,411.904,521.355408,4,413.235,519.675903,1,420.618,510.554077
16384,13824,2560,4,2095.708,553.341003,1,2101.781,551.742249,2,2155.346,538.030151
16384,2560,6912,4,841.257,689.231262,1,852.091,680.467957,2,938.639,617.724548
