# GPU: NVIDIA A100 80GB PCIe
# CC: 8.0
# torch: 2.9.1+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: NTRRrow, dtype: int8, warmup=25, repeat=100, verify=True
# M_list: [16, 64, 128, 512, 2048, 8192, 16384]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,best_id1,lat_us1,tops1,best_id2,lat_us2,tops2,best_id3,lat_us3,tops3
16,3840,2560,19,8.438,37.281551,17,8.919,35.269806,18,8.940,35.189003
16,2560,2560,19,8.448,24.824242,21,8.602,24.380953,17,8.796,23.841675
16,13824,2560,18,11.510,98.391457,16,11.837,95.667831,13,12.339,91.777603
16,2560,6912,19,14.080,40.215275,21,14.479,39.106079,17,16.067,35.242828
64,3840,2560,18,9.400,133.856201,15,9.626,130.723404,11,10.045,125.259941
64,2560,2560,17,9.103,92.148483,15,9.134,91.838562,18,9.185,91.326645
64,13824,2560,13,15.206,297.890900,5,15.944,284.115631,8,16.824,269.244080
64,2560,6912,19,15.196,149.045822,15,16.292,139.022003,18,16.302,138.934677
128,3840,2560,13,11.776,213.704346,14,12.452,202.105270,5,12.503,201.277649
128,2560,2560,11,10.291,163.024887,15,10.476,160.156403,18,10.506,159.688110
128,13824,2560,12,20.859,434.332855,6,25.846,350.529327,8,26.470,342.257660
128,2560,6912,11,19.630,230.760544,15,19.743,229.443985,18,20.040,226.043945
512,3840,2560,6,25.774,390.560181,8,31.795,316.599060,13,32.799,306.912292
512,2560,2560,8,17.213,389.863190,12,17.920,374.491425,5,19.364,346.567993
512,13824,2560,6,57.201,633.538147,12,73.964,489.954834,8,79.309,456.932739
512,2560,6912,12,36.198,500.557861,8,37.755,479.921906,5,41.452,437.122528
2048,3840,2560,6,75.540,533.029663,12,85.668,470.016754,8,85.924,468.616302
2048,2560,2560,6,52.050,515.726990,8,53.637,500.465820,12,53.760,499.321930
2048,13824,2560,6,226.970,638.654419,12,289.178,501.266846,8,304.548,475.968384
2048,2560,6912,6,115.005,630.209961,12,117.033,619.291992,8,127.457,568.642090
8192,3840,2560,6,253.389,635.628967,12,306.248,525.918335,8,309.924,519.680115
8192,2560,2560,6,169.912,631.938782,8,210.022,511.251129,12,211.087,508.671783
8192,13824,2560,6,931.604,622.389282,12,1089.178,532.347168,7,1182.280,490.425903
8192,2560,6912,6,376.402,770.214722,12,471.818,614.453369,8,517.857,559.826660
16384,3840,2560,6,499.425,644.986511,12,600.003,536.868591,8,615.137,523.659546
16384,2560,2560,6,331.950,646.929688,12,398.592,538.767395,8,402.708,533.260132
16384,13824,2560,6,1850.081,626.805481,12,2176.891,532.705261,7,2354.033,492.618958
16384,2560,6912,6,804.659,720.579041,12,954.552,607.426697,8,1046.221,554.204773
