# GPU: NVIDIA H100 PCIe
# CC: 9.0
# torch: 2.9.1+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: NTRRcol, dtype: fp8e4m3, warmup=25, repeat=100, verify=True
# M_list: [16, 64, 128, 512, 2048, 8192, 16384]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,best_id1,lat_us1,tops1,best_id2,lat_us2,tops2,best_id3,lat_us3,tops3
16,3840,2560,24,7.254,43.364944,13,8.112,38.778694,14,8.203,38.349068
16,2560,2560,24,7.603,27.582491,23,8.394,24.984179,14,8.498,24.677485
16,13824,2560,24,10.440,108.476700,8,11.891,95.235306,5,12.012,94.276314
16,2560,6912,24,11.951,47.380497,13,12.172,46.519756,14,14.790,38.285343
64,3840,2560,24,7.587,165.850952,0,8.116,155.047501,13,8.129,154.785065
64,2560,2560,24,7.832,107.106842,14,8.162,102.777390,23,8.295,101.127998
64,13824,2560,24,11.332,399.722626,5,11.529,392.921326,8,11.547,392.289795
64,2560,6912,24,12.436,182.128769,13,12.781,177.213028,23,14.230,159.160965
128,3840,2560,1,9.043,278.284485,15,9.079,277.195740,19,9.768,257.635376
128,2560,2560,24,8.182,205.048294,3,8.410,199.500748,13,8.528,196.723572
128,13824,2560,17,13.957,649.094421,15,14.152,640.185181,7,14.520,623.932312
128,2560,6912,24,11.782,384.469330,23,11.806,383.677338,3,12.610,359.219818
512,3840,2560,12,16.246,619.603699,2,16.731,601.661682,6,17.003,592.025635
512,2560,2560,4,12.939,518.660583,17,12.962,517.751404,7,13.340,503.046844
512,13824,2560,10,44.278,818.430298,9,44.689,810.911377,7,45.100,803.523621
512,2560,6912,7,22.287,812.989685,17,22.555,803.358337,4,23.437,773.096069
2048,3840,2560,6,42.296,951.996094,2,48.901,823.402771,7,49.492,813.580139
2048,2560,2560,2,28.471,942.836853,6,29.050,924.059082,7,31.740,845.719604
2048,13824,2560,12,146.999,986.098022,9,153.714,943.020996,7,153.722,942.971863
2048,2560,6912,6,61.533,1177.868896,7,68.257,1061.834229,11,70.350,1030.236816
8192,3840,2560,11,160.976,1000.531738,12,183.103,879.619446,7,186.020,865.828491
8192,2560,2560,2,110.304,973.441528,12,111.952,959.111816,10,112.991,950.289368
8192,13824,2560,12,581.993,996.267822,9,586.125,989.244202,2,606.612,955.834656
8192,2560,6912,9,234.203,1237.857910,10,243.141,1192.352417,12,247.743,1170.205688
16384,3840,2560,2,308.598,1043.825439,6,322.469,998.924194,21,334.158,963.981628
16384,2560,2560,12,223.910,959.084412,11,233.180,920.953430,7,235.693,911.134277
16384,13824,2560,12,1217.365,952.582886,9,1253.182,925.357544,21,1282.157,904.445801
16384,2560,6912,12,482.739,1201.106812,9,500.324,1158.889038,21,515.088,1125.673584
