# GPU: NVIDIA B200
# CC: 10.0
# torch: 2.9.1+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: NTRRcol, dtype: int8, warmup=25, repeat=100, verify=True
# M_list: [16, 64, 128, 512, 2048, 8192, 16384]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,best_id1,lat_us1,tops1,best_id2,lat_us2,tops2,best_id3,lat_us3,tops3
16,3840,2560,42,6.724,46.784695,67,7.257,43.349651,45,7.257,43.347736
16,2560,2560,42,6.456,32.485378,45,6.935,30.238546,67,6.950,30.173113
16,13824,2560,66,8.236,137.504120,45,8.237,137.482773,69,8.238,137.461395
16,2560,6912,42,9.526,59.438087,45,10.245,55.270096,43,10.271,55.128891
64,3840,2560,70,8.229,152.913086,68,8.230,152.883362,66,8.232,152.859589
64,2560,2560,42,7.976,105.168900,68,8.233,101.886581,69,8.234,101.882622
64,13824,2560,66,8.229,550.487122,45,8.234,550.166138,42,8.238,549.888367
64,2560,6912,71,10.283,220.254822,67,10.285,220.220505,70,10.285,220.213684
128,3840,2560,68,8.231,305.754822,66,8.231,305.754822,43,8.232,305.707275
128,2560,2560,42,8.224,204.003113,71,8.232,203.812790,68,8.234,203.765244
128,13824,2560,57,9.962,909.432800,54,10.223,886.203735,3,10.272,882.007202
128,2560,6912,70,10.279,440.701599,45,10.285,440.441010,71,10.286,440.399933
512,3840,2560,56,8.910,1129.768677,55,9.241,1089.316406,58,9.282,1084.546753
512,2560,2560,56,8.241,814.301514,55,8.242,814.269836,57,8.243,814.175049
512,13824,2560,55,16.432,2205.422119,58,16.432,2205.335938,56,16.438,2204.520264
512,2560,6912,5,12.332,1469.356079,58,12.332,1469.356079,57,12.333,1469.203613
2048,3840,2560,15,17.252,2333.885986,13,17.257,2333.322998,16,17.492,2301.906738
2048,2560,2560,58,14.386,1865.959717,56,14.446,1858.229980,55,14.616,1836.586304
2048,13824,2560,99,42.892,3379.575439,97,42.996,3371.376221,100,43.015,3369.871338
2048,2560,6912,56,24.509,2957.167480,58,24.609,2945.131836,55,24.612,2944.825439
8192,3840,2560,99,47.341,3402.166260,97,47.532,3388.469727,100,47.758,3372.417725
8192,2560,2560,99,36.145,2970.654053,98,36.508,2941.152588,97,36.626,2931.644775
8192,13824,2560,98,154.267,3758.547607,97,154.890,3743.428711,101,156.075,3715.015625
8192,2560,6912,99,68.147,4254.177734,97,68.476,4233.740234,100,68.776,4215.282715
16384,3840,2560,97,87.451,3683.454834,98,87.727,3671.859863,14,89.190,3611.654053
16384,2560,2560,99,59.945,3582.425537,100,60.443,3552.932861,97,60.901,3526.199707
16384,13824,2560,99,298.072,3890.473389,98,299.330,3874.119873,101,302.972,3827.558350
16384,2560,6912,99,123.140,4708.610840,100,124.762,4647.428223,97,125.630,4615.300293
