# GPU: NVIDIA B200
# CC: 10.0
# torch: 2.9.1+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: NTRRcol, dtype: fp8e5m2, warmup=25, repeat=100, verify=True
# M_list: [16, 64, 128, 512, 2048, 8192, 16384]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,best_id1,lat_us1,tops1,best_id2,lat_us2,tops2,best_id3,lat_us3,tops3
16,3840,2560,84,6.213,50.627800,73,6.703,46.929871,87,6.704,46.925388
16,2560,2560,84,6.193,33.863483,87,6.558,31.978142,73,6.702,31.289570
16,13824,2560,72,8.236,137.493454,75,8.238,137.472092,84,8.243,137.392044
16,2560,6912,84,9.301,60.879818,87,9.778,57.907253,75,10.272,55.125450
64,3840,2560,84,7.816,160.982544,85,8.225,152.978531,75,8.234,152.817993
64,2560,2560,84,7.420,113.046700,87,8.176,102.596375,73,8.197,102.332047
64,13824,2560,84,8.239,549.824280,51,8.239,549.824280,72,8.240,549.717529
64,2560,6912,87,10.276,220.419418,77,10.277,220.378235,73,10.279,220.343933
128,3840,2560,75,8.234,305.635986,88,8.236,305.552856,50,8.238,305.469788
128,2560,2560,1,8.232,203.812790,72,8.234,203.765244,3,8.234,203.765244
128,13824,2560,3,8.241,1099.349609,48,8.245,1098.837646,51,8.443,1073.016968
128,2560,6912,77,10.277,440.770172,73,10.285,440.413696,87,10.286,440.386292
512,3840,2560,1,8.243,1221.215088,2,8.265,1217.905518,5,8.378,1201.530884
512,2560,2560,4,8.240,814.396301,5,8.242,814.206604,3,8.243,814.143433
512,13824,2560,48,16.431,2205.550781,49,16.434,2205.078369,52,16.435,2205.035645
512,2560,6912,2,12.331,1469.432251,49,12.333,1469.203613,53,12.333,1469.203613
2048,3840,2560,97,16.683,2413.617188,100,17.029,2364.542236,98,17.164,2345.895020
2048,2560,2560,2,14.444,1858.518188,4,14.557,1843.974365,49,14.626,1835.340576
2048,13824,2560,100,43.181,3356.885254,99,43.324,3345.802246,98,43.683,3318.351318
2048,2560,6912,1,24.610,2945.017090,4,24.627,2942.988770,2,24.628,2942.835938
8192,3840,2560,97,48.623,3312.425781,98,48.998,3287.093506,100,49.117,3279.105469
8192,2560,2560,99,35.892,2991.630859,98,36.120,2972.733643,97,36.364,2952.799316
8192,13824,2560,99,155.590,3726.598389,98,161.015,3601.033936,97,161.603,3587.934814
8192,2560,6912,99,71.363,4062.461670,97,71.572,4050.619629,100,71.617,4048.085693
16384,3840,2560,97,92.024,3500.406982,101,93.170,3457.378174,96,93.476,3446.062988
16384,2560,2560,99,62.490,3436.510498,100,62.657,3427.384033,97,63.092,3403.759521
16384,13824,2560,101,321.992,3601.456055,64,323.308,3586.798584,99,324.228,3576.617188
16384,2560,6912,99,130.080,4457.426270,100,130.525,4442.214844,97,131.662,4403.843262
