# GPU: NVIDIA H100 PCIe
# CC: 9.0
# torch: 2.9.1+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: NTRRcol, dtype: int8, warmup=25, repeat=100, verify=True
# M_list: [16, 64, 128, 512, 2048, 8192, 16384]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912)]
M,N,K,best_id1,lat_us1,tops1,best_id2,lat_us2,tops2,best_id3,lat_us3,tops3
16,3840,2560,19,7.277,43.227654,24,7.418,42.405315,6,8.227,38.237194
16,2560,2560,19,7.754,27.045229,24,8.010,26.180887,23,8.363,25.076912
16,13824,2560,24,10.577,107.071999,19,10.840,104.467583,14,11.731,96.534203
16,2560,6912,19,12.013,47.133129,24,12.420,45.588501,23,15.381,36.813381
64,3840,2560,24,7.548,166.708771,19,7.642,164.663330,4,8.056,156.193054
64,2560,2560,24,7.847,106.905922,19,7.872,106.562607,6,8.188,102.452034
64,13824,2560,24,11.533,392.779541,19,11.627,389.612091,14,11.826,383.044037
64,2560,6912,19,12.569,180.195221,24,12.817,176.717453,5,14.213,159.350876
128,3840,2560,12,9.026,278.827148,1,9.222,272.896118,21,9.957,252.742004
128,2560,2560,24,8.089,207.417007,19,8.341,201.146378,23,8.417,199.333878
128,13824,2560,18,13.541,669.050720,12,14.212,637.460876,1,14.753,614.080200
128,2560,6912,19,11.811,383.542206,5,11.936,379.521576,23,12.552,360.895782
512,3840,2560,20,17.032,591.024536,0,17.853,563.841431,8,18.093,556.362244
512,2560,2560,18,12.828,523.137085,11,13.307,504.304932,22,13.653,491.527679
512,13824,2560,18,44.757,809.670776,16,44.913,806.872864,17,45.488,796.672546
512,2560,6912,18,21.899,827.399841,22,22.404,808.762817,10,22.880,791.942566
2048,3840,2560,8,41.268,975.699463,0,46.188,871.761108,22,47.910,840.429565
2048,2560,2560,0,29.065,923.560486,8,29.745,902.466675,22,30.214,888.435547
2048,13824,2560,13,146.759,987.710571,10,152.344,951.500854,20,154.076,940.799988
2048,2560,6912,8,59.763,1212.752319,22,62.903,1152.216797,10,67.292,1077.063354
8192,3840,2560,10,160.748,1001.947876,20,171.317,940.133545,22,179.801,895.776978
8192,2560,2560,0,100.196,1071.643188,20,110.932,967.923767,8,111.614,962.015625
8192,13824,2560,20,552.132,1050.149414,8,560.617,1034.255005,13,580.397,999.006714
8192,2560,6912,20,218.205,1328.615479,13,225.084,1288.006592,8,234.324,1237.218994
16384,3840,2560,0,303.252,1062.225586,8,307.748,1046.709351,17,323.003,997.273560
16384,2560,2560,20,216.008,994.168579,13,221.239,970.663574,0,223.953,958.899353
16384,13824,2560,17,1192.919,972.103882,20,1204.325,962.897461,13,1242.017,933.676086
16384,2560,6912,20,451.376,1284.561523,13,475.535,1219.300781,17,500.496,1158.492065
